key	text	tooltip
#Loc;1;text/db/character_trait_levels.loc		
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_1	Цікавий	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_3	Все підійде	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_2	Гордий	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_2	Кровожерливий	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_3	Не брати полонених!	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_1	Трішки бордовий	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_2	Мої руки зв'язані. Правила є правила.	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_3	Милосердний уряд – це оксиморон.	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_1	Уряд є твердим, люблячим батьком народу.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_1	Незважаючи на всі його зусилля, засідки цієї людини ніколи не спрацьовують, як планувалося.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_2	Цей чоловік міг би також поставити знак «попереду засідка».	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_3	Цей чоловік не зміг організувати сварку в храмі Вакха, не кажучи вже про раптовий напад.	true
character_trait_levels_colour_text_att_trait_general_physical_all_innate_handsome_1	Я бачу, як ти дивишся. І так, я займаюся.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_2	Його вміння захисту легендарні, але не в кращому сенсі.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_3	Горе тому місту, яке залишиться під опікою цієї людини!	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_1	Цей чоловік втратив не одне місто, але, на жаль, врятувався.	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_5	Потужні весла V	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_4	Потужні весла IV	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_1	Потужні весла I	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_3	Потужні весла III	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_2	Потужні весла II	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_sober_1	Тверезий	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_sober_2	Стриманий	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_sober_3	Непитущий до сліз	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_dishonest_2	Нечесний	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_dishonest_3	Великий шахрай	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_dishonest_1	Ненадійний	true
character_trait_levels_onscreen_name_att_trait_spy_actions_all_investigator_3	Головоріз	true
character_trait_levels_onscreen_name_att_trait_spy_actions_all_investigator_2	Шантажист	true
character_trait_levels_onscreen_name_att_trait_spy_actions_all_investigator_1	Слідчий	true
character_trait_levels_onscreen_name_att_trait_general_government_all_admin_good_3	Досвідчений керівник	true
character_trait_levels_onscreen_name_att_trait_general_government_all_admin_good_2	Умілий адміністратор	true
character_trait_levels_onscreen_name_att_trait_general_government_all_admin_good_1	Адміністратор	true
character_trait_levels_colour_text_att_trait_general_physical_all_eunuch_1	Цей чоловік ідеальний, якщо Ви бажаєте квітів від шлюбу, а не плодів.	true
character_trait_levels_colour_text_att_trait_general_personality_roman_unpatriotic_1	Багато хто не схвалює іноземні смаки цієї людини.	true
character_trait_levels_colour_text_att_trait_general_personality_roman_unpatriotic_2	Цей чоловік захоплюється неримськими речами. Жахливий хлопець.	true
character_trait_levels_colour_text_att_trait_general_personality_roman_unpatriotic_3	Ця людина балакає плутано. І він ще називає себе римляном не вміючи говорити!	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_easily_trapped_1	Легко потрапить в пастку	true
character_trait_levels_onscreen_name_att_trait_all_personality_all_innate_uncompromising_1	Безкомпромісність	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_4	У бою ця людина надихає своїх воїнів на вчинки божевільного героїзму.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_5	У бою ця людина надихає своїх воїнів на вчинки божевільного героїзму.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_1	У бою ця людина надихає своїх воїнів на вчинки божевільного героїзму.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_2	У бою ця людина надихає своїх воїнів на вчинки божевільного героїзму.	true
character_trait_levels_colour_text_att_trait_general_ability_all_inspire_3	У бою ця людина надихає своїх воїнів на вчинки божевільного героїзму.	true
character_trait_levels_onscreen_name_cha_trait_pope_1	Папа	true
character_trait_levels_colour_text_att_trait_general_military_navy_all_defender_sea_good_3	Морські боги благословили цю людину тактичною кмітливістю.	true
character_trait_levels_colour_text_att_trait_general_military_navy_all_defender_sea_good_2	Ця людина зазвичай перемагає під час оборони на морі.	true
character_trait_levels_colour_text_att_trait_general_military_navy_all_defender_sea_good_1	Ця людина розуміється на захисті в морі.	true
character_trait_levels_colour_text_att_trait_general_personality_all_mad_3	Я маленький горщик гарум, низький і кремезний…	true
character_trait_levels_colour_text_att_trait_general_personality_all_mad_2	Мені подобаються твої очі. У тебе гарні очі. Дуже гарні очі. так	true
character_trait_levels_colour_text_att_trait_general_personality_all_mad_1	Це важливо? Дз-ж-ж-ж! Дз-ж-ж-ж! Я сьогодні не зробив достатньо меду! Дз-ж-ж-ж!	true
character_trait_levels_colour_text_att_trait_all_personality_all_atheist_2	Поклоніння? Чому я хочу це зробити?	true
character_trait_levels_colour_text_att_trait_all_personality_all_atheist_3	Невже я виглядаю настільки дурним, щоб повірити в великих, бородатих, злих чоловіків у небі?	true
character_trait_levels_colour_text_att_trait_all_personality_all_atheist_1	Кожного разу, коли я молюся, я дивуюся, чому я турбуюсь...	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_feck_2	Лихословлячий	true
character_trait_levels_onscreen_name_att_trait_general_status_all_unpopular_3	Зневажений усіма	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_feck_3	Огидний	true
character_trait_levels_onscreen_name_att_trait_general_status_all_unpopular_2	Непопулярний	true
character_trait_levels_onscreen_name_att_trait_general_status_all_unpopular_1	В опалі	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_feck_1	Лайливий	true
character_trait_levels_onscreen_name_att_trait_general_military_all_fighter_3	Майстер бою	true
character_trait_levels_onscreen_name_att_trait_general_military_all_fighter_2	Відмінний боєць	true
character_trait_levels_onscreen_name_att_trait_general_military_all_fighter_1	Вправний у битві	true
character_trait_levels_colour_text_att_trait_all_personality_all_sanguine_1	Безтурботний вираз обличчя приховує багато думок.	true
character_trait_levels_colour_text_att_trait_all_personality_all_choleric_1	Цього чоловіка легко роздратувати, розлютити. І пам'ятає своїх ворогів. О, так…	true
character_trait_levels_colour_text_att_trait_all_personality_all_easily_deceived_1	Цей чоловік довірливий від природи, чим інші користуються при кожній нагоді.	true
character_trait_levels_colour_text_bel_character_trait_last_roman_1	Своїми словами і вчинками про цю людину можна сказати, що вона втілює все добре і римське.	true
character_trait_levels_onscreen_name_att_trait_general_government_all_miner_3	Геній гірництва	true
character_trait_levels_onscreen_name_att_trait_general_government_all_miner_2	Гірничий інженер	true
character_trait_levels_onscreen_name_att_trait_general_government_all_miner_1	Копач	true
character_trait_levels_onscreen_name_att_trait_agent_personality_all_innate_stupid_1	Дурник	true
character_trait_levels_colour_text_att_trait_spy_actions_all_contaminator_1	Не їжте печиво. Я думаю, що воно зіпсоване.	true
character_trait_levels_colour_text_att_trait_spy_actions_all_contaminator_2	Ймовірний аванс. Здебільшого до вбиралень…	true
character_trait_levels_colour_text_att_trait_spy_actions_all_contaminator_3	У гіршому? Втечуть. У кращому випадку? Вони мертві!	true
character_trait_levels_colour_text_att_trait_priest_rank_orthodox_bishop_1	Ця людина була визнана своєю побожною відданістю Церкві.	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_recon_1	Розвідка І	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_recon_3	Розвідка III	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_recon_2	Розвідка II	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_recon_5	Розвідка V	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_recon_4	Розвідка IV	true
character_trait_levels_onscreen_name_att_trait_priest_actions_all_devout_1	Благочестивий	true
character_trait_levels_onscreen_name_att_trait_priest_actions_all_devout_2	Праведний	true
character_trait_levels_onscreen_name_att_trait_priest_actions_all_devout_3	Фанатичний	true
character_trait_levels_colour_text_att_trait_not_priest_personality_monotheist_religious_2	Бог допомагає тим, хто найменше просить.	true
character_trait_levels_colour_text_att_trait_not_priest_personality_monotheist_religious_3	Ти знаєш, що таке справжнє кохання? Жертовність.	true
character_trait_levels_colour_text_att_trait_not_priest_personality_monotheist_religious_1	Можливо, Бога не існує, але якщо Він існує, то я хочу Його допомоги.	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_presence_4	Присутність IV	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_presence_5	Присутність V	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_presence_2	Присутність II	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_presence_3	Присутність III	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_presence_1	Присутність І	true
character_trait_levels_onscreen_name_att_trait_priest_actions_all_betray_1	Підкупний	true
character_trait_levels_onscreen_name_att_trait_priest_actions_all_betray_3	Оманливий	true
character_trait_levels_onscreen_name_att_trait_priest_actions_all_betray_2	Підступний	true
character_trait_levels_colour_text_att_trait_general_military_all_looter_1	Переможцю здобич.	true
character_trait_levels_colour_text_att_trait_general_military_all_looter_2	Для цієї людини недостатньо грабувати переможених.	true
character_trait_levels_colour_text_att_trait_general_military_all_looter_3	Що таке маленький геноцид між друзями?	true
character_trait_levels_colour_text_att_trait_all_personality_all_innate_charismatic_1	Деякі чоловіки мають природне відчуття командування.	true
character_trait_levels_onscreen_name_att_trait_agent_status_not_roman_poor_1	Погане походження	true
