key	text	tooltip
#Loc;1;text/db/character_skills.loc		
character_skills_localised_name_att_skill_background_champion_elite_nomadic	Великий воїн	true
character_skills_localised_name_cha_skill_general_motivator	Натхненник	true
character_skills_localised_description_att_skill_background_general_merchant_roman	Цього чоловіка мало хвилює нація, вірність чи віросповідання. Тільки грошенята.	true
character_skills_localised_name_att_trad_army_roman_4_nomad_hunters	Мисливці-кочовики	true
character_skills_localised_description_att_skill_background_spy_agriculture_nomadic	Деякі тварини рівніші за інших.	true
character_skills_localised_description_att_trad_navy_roman_1_coastal_patrol	У рідних водах ці моряки залишаються неперевершеними.	true
character_skills_localised_name_att_skill_background_champion_marine_eastern	Корсар	true
character_skills_localised_description_att_skill_background_priest_militarist_eastern	Ну, я вважаю, мир є варіантом, але й криваві танці можна влаштувати!	true
character_skills_localised_description_cha_trad_army_cavalry_training	Кінь є проблемою, якщо його вершник не може контролювати свою тварину.	true
character_skills_localised_name_att_skill_background_champion_scout_nomadic	Вистежувач	true
character_skills_localised_name_cha_skill_priest_back_elder	Староста	true
character_skills_localised_description_cha_trad_army_looters	Не залишайте нічого, крім м’яса для падла.	true
character_skills_localised_name_cha_skill_spy_local_agents	Місцеві агенти	true
character_skills_localised_description_att_agent_skills_champion_skirmishing	Безперервний шквал пострілів постійно знищує ворога на попіл.	true
character_skills_localised_description_att_skill_background_champion_standard_bearer_eastern	У руках цієї людини гордо підноситься стяг переможної, сяючої нації.	true
character_skills_localised_name_att_skill_background_wife_roman_noble	Шляхтич	true
character_skills_localised_description_bel_trad_army_roman_3_attacking_enemy	Якщо Ви перебуваєте на їхній землі, бій може бути закінчений до того, як буде завдано хоч один удар.	true
character_skills_localised_name_att_skill_background_champion_aide_camp_roman	Військовий трибун	true
character_skills_localised_description_att_skill_background_priest_benefactor_eastern	Коли кота немає, ця людина стежить за тим, щоб миші залишалися там, де їм потрібно.	true
character_skills_localised_description_att_trad_army_eastern_4_savaran_regime	З благородством на передньому плані море кавалерії поглинає все перед собою.	true
character_skills_localised_name_att_skill_background_general_handler_eastern	Приборкувач	true
character_skills_localised_name_att_trad_army_roman_4_heavy_training	Важкі тренування	true
character_skills_localised_description_att_trad_army_barbarian_4_bane_east	Блискучі вежі падають перед клятвеним мечем.	true
character_skills_localised_description_cha_trad_navy_double_planking	Що, якби замість однієї дерев’яної дошки їм довелося пройти… дві!	true
character_skills_localised_description_att_skill_background_spy_agriculture_barbarian	Деякі тварини рівніші за інших.	true
character_skills_localised_name_att_trad_navy_barbarian_3_dauntless_navigators	Безстрашні мореплавці	true
character_skills_localised_description_att_trad_army_nomadic_5_scourge_world	Поглянь на них і пізнай приречення.	true
character_skills_localised_name_att_agent_skills_champion_marauding	Напад	true
character_skills_localised_description_att_skill_background_general_scholar_eastern	Книги – найпотужніша зброя у війні з невіглаством.	true
character_skills_localised_description_cha_skill_general_tactician	Тактик є володарем ігрової дошки, завжди продумуючи багато ходів наперед.	true
character_skills_localised_description_cha_skill_priest_spiritual_leadership	Сліпий побачить! Глухі почують!	true
character_skills_localised_name_att_skill_background_wife_civilised_educated	Освічена	true
character_skills_localised_description_att_skill_background_priest_spiritual_leader_nomadic	Подивіться на власні гріхи - ніч темна і повна жахів.	true
character_skills_localised_description_att_skill_background_general_merchant_eastern	Цього чоловіка мало хвилює нація, вірність чи віросповідання. Тільки грошенята.	true
character_skills_localised_description_att_skill_background_wife_roman_sharp_tongue	І чому ми знову розважаємо ту товсту свиню, Флата Максимуса? Та ні, мені байдуже, чи він почує!	true
character_skills_localised_description_cha_skill_general_back_supply	Їжа та зброя виграють війни так само, як будь-який солдат.	true
character_skills_localised_description_cha_skill_general_back_patron	Це славна споруда. так Красива. Я візьму з десяток.	true
character_skills_localised_name_att_trad_army_eastern_2_nomad_hunters	Мисливці-кочовики	true
character_skills_localised_description_att_trad_navy_roman_2_naval_logistics	Все повинно бути в порядку і готове до плавання.	true
character_skills_localised_description_att_agent_skills_champion_ruse	Подивіться туди! Триголова мавпа!	true
character_skills_localised_description_att_skill_background_champion_assassin_nomadic	Я буду твоїм борцем.	true
character_skills_localised_name_att_agent_skills_spy_military_infiltration	Проникнення у війська	true
character_skills_localised_name_att_skill_background_wife_roman_sharp_tongue	Гострий язик	true
character_skills_localised_description_att_skill_background_champion_scout_eastern	Дорога попереду оповита темрявою. Я є світло.	true
character_skills_localised_name_cha_skill_general_back_entrepeneur	Підприємець	true
character_skills_localised_name_att_skill_background_priest_spiritual_leader_nomadic	Духовний лідер	true
