key	text	tooltip
#Loc;1;text/db/formations.loc		
formations_tooltip_triple_line_melee	Потрійна лінія фронту ближнього бою||Розташовує загони в три лінії з піхотою ближнього бою попереду, стрільцями посередині та кавалерією позаду.	true
formations_name_spear	Спис	true
formations_name_wedge	Клин	true
formations_tooltip_double_line_land	Подвійна лінія||Формує загони у дві лінії, не розподіляючи їх за типом. 	true
formations_description_simplex_acies	Основне шикування із добре розташованими списоносцями в першому ряду, піхотою ближнього бою на однаковій відстані позаду, кавалерією позаду та стрільцями, розташованими попереду.	true
formations_description_triplex_acies	Шикування, яке розташовує піхоту ближнього бою в три лінії, з найлегшою попереду та списоносцями в останній лінії. Стрільці розгортаються попереду, а кіннота — у тилу на флангах.	true
formations_description_double_acies	Шикування із двома добре рознесеними лініями піхоти ближнього бою зі списоносцями на флангах і кавалерією позаду. Стрільці утворюють щит попереду.	true
formations_description_column	Формує загони в колону. Корисно для переправи через річки або для просування до поселень. Розміщує стрільців попереду, піхоту ближнього бою посередині та кінноту в тилу.	true
formations_tooltip_mis_light_centre	Стрілецький фланговий стрій||Створює потужну батарею артилерійського вогню у Вашому центрі, з човнами ближнього бою, готовими наблизитися з флангів.||Що далі від центру, то важчий корабель.	true
formations_tooltip_double_line_sorted	Впорядкована подвійна лінія||Розташовує загони у дві лінії, у першому ряду — стрільці, у другому — піхота ближнього бою, а на флангах — кавалерія.	true
formations_tooltip_mis_heavy_centre	Стрілецький важкий стрій||Розбиває центр ворога артилерійським вогнем, поки Ваші важкі човни ближнього бою наближаються до їхніх флангів.||Що ближче до центру, то важчий човен.	true
formations_description_triple_line_missile	Формує загони в три лінії зі стрільці попереду, піхотою ближнього бою посередині та кіннотою позаду.	true
formations_name_triple_line_missile	Потрійна лінія стрілецького фронту	true
formations_name_triplex_acies	Потрійний порядок	true
formations_name_simplex_acies	Простий порядок	true
formations_description_double_sailing	PLACEHOLDER	true
formations_tooltip_crescent	Півмісяць||Бойова лінія вигинається всередину, втягуючи ворожу фльотилію у центр, дозволяючи Вам оточити його в пастці.	true
formations_name_double_line_sorted	Впорядкована подвійна лінія	true
formations_description_triple_line_cavalry	Формує загони в три лінії з кавалерією попереду, стрільцями посередині та піхотою ближнього бою позаду.	true
formations_tooltip_sailing	Бойова лінія||Стандартна бойова лінія з важкими човнами в центрі, а легкі та стрілецькі човни займають фланги.	true
formations_tooltip_mis_double_line	Стрілецька подвійна лінія||Формація з двома глибинами, яка розташовує Вашу фльоту із човнами артилерії спереду та човнами ближнього бою позаду.	true
formations_tooltip_single_line_sorted	Впорядкована одна лінія|| Розташовує загони в одну лінію з піхотою ближнього бою посередині, стрілецями поруч і кавалерією на флангах.	true
formations_name_single_line	Одна лінія	true
formations_description_single_line	Формує загони в одну неорганізовану лінію. Корисно для швидкого встановлення загонів у лінію.	true
formations_name_single_line_sorted	Впорядкована одна лінія	true
