key	text	tooltip
#Loc;1;text/db/cdir_events_dilemma_choice_details.loc		
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_celtic_religious_sanctions_1SECOND	Impose Sanctions	true
cdir_events_dilemma_choice_details_localised_choice_title_cha_dilemma_pope_attacked_1SECOND	"God sends crises in order to test and strengthen us. I cannot bear this burden for you."	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_1FIRST	Cede Ravenna	true
cdir_events_dilemma_choice_details_localised_choice_title_political_event_assassinationFIRST	Double the guard and remind everybody how we deal with traitors!	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_secure_loyalty_briberyTHIRD	Forget It	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_assassinate_suspiciousFIRST	Cover Their Tracks	true
cdir_events_dilemma_choice_details_localised_choice_title_att_political_action_dilemma_secure_loyalty_mutilationTHIRD	He is of no concern to us. We have more important matters to attend to.	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_nordic_the_flyting_1THIRD	Appoint the general as your champion. He will prove your supremacy.	true
cdir_events_dilemma_choice_details_localised_choice_title_ybor_level_A_alamanniSECOND	Said by the priesthood to confer wisdom and the protection of Godan.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_civil_challengerFOURTH	Give Him Office	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_civil_hostageSECOND	Hold Him Hostage	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_secure_loyalty_briberyFIRST	Large Bribe	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_assassinate_suspiciousTHIRD	Forget It	true
cdir_events_dilemma_choice_details_localised_choice_title_att_political_action_dilemma_secure_loyalty_mutilationFIRST	He will be no good to anyone else after this!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_nordic_the_flyting_1FIRST	We have no time for such frivolities.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_military_roman_master_hostile_governorSECOND	Discredit Him	true
cdir_events_dilemma_choice_details_localised_choice_title_ybor_level_A_burgundiFIRST	Prised from the cold grasp of a rival king.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_barb_nomad_stolen_swordFIRST	Make a New One	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_seek_office_obstructionSECOND	Decree	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_3FIRST	Cede Ravenna	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_2THIRD	Grovel to Charlemagne	true
cdir_events_dilemma_choice_details_localised_choice_title_att_dilemma_religious_christian_the_council_of_toledo_1FIRST	These people have been persecuted long enough. We should bring them back into the fold.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_barb_nomad_tribal_loyaltyTHIRD	Mediate	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_civil_secret_meetingsSECOND	Meet Them	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_none_the_silk_trader_1SECOND	This new trade route could be of great value to our people. Let us help to expand his operation.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_barb_nomad_stolen_swordTHIRD	Do Nothing	true
cdir_events_dilemma_choice_details_localised_choice_title_ollam_ri_A1iSECOND	The Ri has no time for tall tales, but he does for gold!	true
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_orthodox_religious_sanctions_1SECOND	Impose Sanctions	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_2FIRST	Cede Ravenna	true
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_germanic_religious_sanctions_1SECOND	Impose Sanctions	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_civil_idiot_magistrateSECOND	You can't have the governance of your people decided by gambling!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_none_hidden_treasure_1SECOND	The people deserve the bounty of this fortuitous find. Distribute it equally amongst them.	true
cdir_events_dilemma_choice_details_localised_choice_title_cha_dilemma_cordoba_1SECOND	"Stand the men at the coast in full battle-dress. We too can put on a show of force."	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_military_none_war_child_1SECOND	Lie	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_barb_nomad_tribal_loyaltyFIRST	Praise One	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_2THIRD	"We cannot afford for our farmers to lose their faith in the dam!"	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_3FIRST	"It will probably hold... right?"	true
