key	text	tooltip
#Loc;1;text/db/aide_de_camp_speeches.loc		
aide_de_camp_speeches_text_adc_attila_enemy_tower_destroyed	Вежа ворога зруйнована!	true
aide_de_camp_speeches_text_adc_attila_captured_enemy_walls	Ми зламали стіни!	true
aide_de_camp_speeches_text_adc_attila_barricades_under_attack	Барикади під ударом!	true
aide_de_camp_speeches_text_adc_attila_enemy_settlement_badly_damaged	Їхнє поселення стало майже руїною!	true
aide_de_camp_speeches_text_adc_attila_own_settlement_badly_damaged	Наше місто сильно зруйновано ворогом.	true
aide_de_camp_speeches_text_adc_attila_enemy_gates_destroyed	Ворожі ворота знищено!	true
aide_de_camp_speeches_text_adc_attila_own_unit_rally	Наші вояки згуртувалися!	true
aide_de_camp_speeches_text_adc_attila_own_ship_lost	Ми втратили човен!	true
aide_de_camp_speeches_text_adc_attila_land_battle_won	Слава богам! Ваша перемога вже близько!	true
aide_de_camp_speeches_text_adc_attila_own_unit_lost	Цілий загін поліг!	true
aide_de_camp_speeches_text_adc_attila_outnumbering_enemy_unit	Ворог тремтить перед нашою чисельною перевагою!	true
aide_de_camp_speeches_text_adc_attila_own_settlement_ruined	Місто на межі руїни!	true
aide_de_camp_speeches_text_adc_attila_capturing_victory_point	Ми захоплюємо ключову позицію перемоги!	true
aide_de_camp_speeches_text_adc_attila_own_hidden_unit_spotted	Наші приховані загони виявлено!	true
aide_de_camp_speeches_text_adc_attila_own_ship_being_boarded	Один з наших човнів беруть на абордаж!	true
aide_de_camp_speeches_text_adc_attila_defending_walls	Ворог біля стін!	true
aide_de_camp_speeches_text_adc_attila_enemy_routing	Дивіться! Вони тікають вгледівши нашу могутність!	true
aide_de_camp_speeches_text_adc_attila_enemy_settlement_ruined	Їхнє місто було спустошено облогою!	true
aide_de_camp_speeches_text_adc_attila_winning_battle	Битва розвивається на нашу користь!	true
aide_de_camp_speeches_text_adc_attila_enemy_gates_captured	Ми захопили ворота!	true
aide_de_camp_speeches_text_adc_attila_losing_battle	Битва вже не на нашу користь!	true
aide_de_camp_speeches_text_adc_attila_enemy_general_injured	Ворожий полководець отримав жахливе поранення, але він буде жити!	true
aide_de_camp_speeches_text_adc_attila_own_general_attacked	Наш полководець під ударом!	true
aide_de_camp_speeches_text_adc_attila_enemy_general_killed	Ворожий полководець мертвий!	true
aide_de_camp_speeches_text_adc_attila_unit_berserk	Наш загін ошаленів!	true
aide_de_camp_speeches_text_adc_attila_enemy_spotted	Ворог наближається!	true
