key	text	tooltip
#Loc;1;text/db/campaign_payload_ui_details.loc		
campaign_payload_ui_details_description_bel_pope_2	Отримана риса: Захисник віри	true
campaign_payload_ui_details_description_bel_pope_1	Отримана риса: Захисник гармонії	true
campaign_payload_ui_details_description_dummy_payload_viking_take_land_northumbria	Отримати регіон Нортумбрія.	true
campaign_payload_ui_details_description_dummy_pope_ancillary	Папа приєднується до двору Карла Великого.	true
campaign_payload_ui_details_description_bel_antonina_gems_1	Зіпсування репутації	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_2	Незначного ремонту може бути достатньо, щоб зупинити прорив дамби...	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_3	Масштабні ремонтні роботи, ймовірно, запобіжать великим пошкодженням.	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_1	Залишити дамбу напризволяще не коштує грошей, але шкода, швидше за все, буде серйозною... Вона може навіть зруйнуватися!	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_4	Повністю відремонтувавши дамбу, Ви дасте їй шанс довго стояти, та й селяни будуть задоволені.	true
campaign_payload_ui_details_description_dummy_ybor_level_A_choice_1	Взятий із мертвої хватки ворожого короля.	true
campaign_payload_ui_details_description_dummy_ybor_level_A_choice_2	Священство каже, що вона дарує мудрість і захист Годана.	true
campaign_payload_ui_details_description_cha_carloman_succession_1_war	Скоро між Вами буде оголошена війна.	true
campaign_payload_ui_details_description_dummy_venedi_1_repeat	Ми можемо платити гунам велику данину, це має гарантувати нашу безпеку.	true
campaign_payload_ui_details_description_dummy_venedi_2_repeat	Доставка гунам значної кількості їжі має гарантувати нашу безпеку.	true
campaign_payload_ui_details_description_dummy_venedi_3_repeat	Відмова щось дати гунам, безсумнівно, розпалить їхній гнів.	true
campaign_payload_ui_details_description_dummy_payload_joyeuse	Карл Великий отримує свій легендарний меч "Жуайоз"!	true
campaign_payload_ui_details_description_att_mission_accepted_dummy	Завдання видано	true
campaign_payload_ui_details_description_att_mission_rejected_dummy	Відхилення завдання	true
campaign_payload_ui_details_description_adopt	Прийнятий в родину: %2%	true
campaign_payload_ui_details_description_dummy_ollam_ri_picti_choice_1	Чорне дзеркало його поверхні відображає всі таємниці людства.	true
campaign_payload_ui_details_description_dummy_ollam_ri_picti_choice_2	Первісні дерева обіцяють життя сміливим і смерть необережним.	true
campaign_payload_ui_details_description_dummy_payload_unforeseen_consequences	Можуть бути непередбачені наслідки...	true
campaign_payload_ui_details_description_bel_photius_1	Збільшення прибутку	true
campaign_payload_ui_details_description_damage_buildings_home_region	Пошкодження будівель	true
campaign_payload_ui_details_description_bel_rumours_1	Ви можете стати посміховиськом, але Ви будете дуже багаті за свої втрати.	true
campaign_payload_ui_details_description_bel_rumours_2	Відмовтеся від матеріальної вигоди, щоб зберегти свою честь.	true
campaign_payload_ui_details_description_dummy_payload_charlemagne_war	Карл Великий оголошує Вам війну!	true
campaign_payload_ui_details_description_bel_narses_response_2	Отримана риса: Верховний головнокомандувач	true
campaign_payload_ui_details_description_bel_narses_response_1	Отримана риса: Відбірний	true
campaign_payload_ui_details_description_dummy_payload_pope_relinquish	Папа відмовляється від претензій на Равенну.	true
campaign_payload_ui_details_description_dummy_payload_viking_take_land_mercia	Отримати регіон Мерсія.	true
campaign_payload_ui_details_description_lose_trait	Втрачена риса: %1%	true
campaign_payload_ui_details_description_spawn_agent	Завербований агент: %1% у %2%	true
campaign_payload_ui_details_description_dummy_payload_remove_viking_bundle	Припинення дії ефекту держави «Невгамовні воїни».	true
campaign_payload_ui_details_description_bel_narses_2	Непідкорення цьому наказу збільшить Вашу власну силу та статус, але образить Імператора.	true
campaign_payload_ui_details_description_bel_narses_1	Заспокойте Імператора та здобудьте корисного полководця, але ціною особистої влади.	true
campaign_payload_ui_details_description_gain_trait	Отримана риса: %1%	true
campaign_payload_ui_details_description_dummy_payload_axum_spice_unlock_building_2	Розблокована будівля: Порт спецій	true
campaign_payload_ui_details_description_dummy_payload_axum_spice_unlock_building_3	Розблокована будівля: Королівське карбування	true
campaign_payload_ui_details_description_dummy_payload_axum_spice_unlock_building_1	Розблокована будівля: Східний порт	true
campaign_payload_ui_details_description_dummy_ollam_ri_A1i_choice_2	У Рі немає часу на казки, але він має час на золото!	true
campaign_payload_ui_details_description_dummy_ollam_ri_A1i_choice_1	Рі хоче побачити це диво на власні очі.	true
campaign_payload_ui_details_description_dummy_eos_civil_war	Скоро почнеться громадянська війна...	true
campaign_payload_ui_details_description_dummy_cordoba_1_1_tax	[[rgba:160:0:0]]Ставка податку -20%[[/rgba:160:0:0]]	true
campaign_payload_ui_details_description_dummy_payload_dam_inspired_farmers	Натхненні селяни в Зафарі	true
campaign_payload_ui_details_description_dummy_pope_help_1_2	Посланець лангобардів благає Вас зрозуміти його. Він стверджує, що ці обіцянки були давно в минулому.	true
campaign_payload_ui_details_description_dummy_pope_help_1_1	Посланець папи просить Вас виконати обіцянку, дану лангобардами. Він стверджує, що люди честі повинні тримати слово.	true
campaign_payload_ui_details_description_bel_justinian_amalasuntha_2	Відправлено підкріплення військ	true
campaign_payload_ui_details_description_bel_justinian_amalasuntha_3	Підкріплення військ прибуває	true
campaign_payload_ui_details_description_bel_justinian_amalasuntha_1	Значне покращення у остготських відносинах	true
campaign_payload_ui_details_description_dummy_eos_sassanid_unhappy	Сасанідський лідер не буде задоволений...	true
campaign_payload_ui_details_description_building_restriction_change	%1%	true
campaign_payload_ui_details_description_dummy_payload_frankish_kingdom_name	Стати «Королівством Франків».	true
campaign_payload_ui_details_description_dummy_pagan_rebels	По всій Саксонії повстають язичницькі повстанці!	true
campaign_payload_ui_details_description_dummy_payload_ceded_ravenna	Равенна відійшла до Папської області.	true
campaign_payload_ui_details_description_dummy_payload_dam_1_fully_repaired	Дамба повністю відремонтована	true
campaign_payload_ui_details_description_dummy_payload_spanish_kingdom_name	Стати «Королівством Іспанія».	true
