key	text	tooltip
#Loc;1;text/db/achievements.loc		
achievements_description_ACHIEVEMENT_ATT_KILL_ATTILA	Убийте гуна Аттилу будь-яким доступним Вам способом.	true
achievements_title_ACHIEVEMENT_ATT_MIXED_BATTLE_MARINE_KILL_LAND_UNIT	Semper Fi	true
achievements_description_ACHIEVEMENT_ATT_RAMMING_KILL	Знищте човен супротивника, протаранивши його.	true
achievements_description_ACHIEVEMENT_COMPLETE_AN_ENTIRE_CAMPAIGN_WINNING_EVERY_BATTLE_EXCEPT_ONE_WITHOUT_AUTORESOLVE	Пройдіть всю кампанію, вигравши всі битви, окрім однієї, без самочинного розрахунку.	true
achievements_description_ACHIEVEMENT_ATT_SUCCESSFUL_BOARDING	Успішно візьміть на абордаж човен під час морського бою.	true
achievements_description_ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_SPY	Досягніть максимального рангу шпигуна під час кампанії.	true
achievements_description_ACHIEVEMENT_SINK_MORE_THAN_10_SHIPS_A_SINGLE_CAMPAIGN_BATTLE	Потопіть більше 10 ворожих човнів за одну битву кампанії.	true
achievements_description_ACHIEVEMENT_AS_BARBARIANS_SACK_ROME	Як варварська держава, спустоште місто Рим.	true
achievements_title_ACHIEVEMENT_ATT_PROVINCE_VICTORY_ARABIA_PETRAEA	Аравія Кам'яниста	true
achievements_title_ACHIEVEMENT_ISSUE_10_EDICTS_IN_CAMPAIGN	Претор	true
achievements_description_ACHIEVEMENT_SIEGE_AND_CAPTURE_CITY_BY_VICTORY_POINTS	Успішно візьміть в облогу та захопіть місто, зайнявши його ключові позиції перемоги під час битви кампанії.	true
achievements_description_ACHIEVEMENT_ATT_CAMPAIGN_VICTORY_VISIGOTHI	Завершіть Велику кампанію за вестготів.	true
achievements_title_ACHIEVEMENT_WIN_50_CAMPAIGN_NAVAL_BATTLES	Командувач римської фльоти	true
achievements_description_ACHIEVEMENT_ATT_CAMPAIGN_VICTORY_BURGUNDIANS	Завершіть Велику кампанію за бурґундців.	true
achievements_description_ACHIEVEMENT_ATT_WIN_25_CAMPAIGN_SIEGE_BATTLE	Бийтеся і станьте переможцем в 25 облогових битвах кампанії.	true
achievements_description_ACHIEVEMENT_WIN_MP_CAMPAIGN	Виграйте мережеву кампанію.	true
achievements_description_ACHIEVEMENT_DEFEND_ENCAMPMENT_WITHOUT_LOSING_VICTORY_POINTS	Під час кампанії захищайте свій табір, не втрачаючи жодної ключової позиції перемоги.	true
achievements_description_ACHIEVEMENT_FIGHT_A_CAMPAIGN_COMBINED_LAND_AND_NAVAL_BATTLE	Проведіть комбінований бій під час кампанії, використовуючи як наземні, так і морські сили.	true
achievements_title_ACHIEVEMENT_ATT_FOUGHT_BATTLE_KILLED_EVERYONE_AND_KILLED_CAPTIVES	Не брати полонених	true
achievements_description_ACHIEVEMENT_ATT_3_RALLIES_PER_BATTLE	Ваш полководець повинен згуртувати загони 3 рази протягом однієї битви в кампанії.	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_9	Повернення пустелі	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_3	Затиснути щипцями	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_2	Галльська війна	true
