key	text	tooltip
#Loc;1;text/db/dilemmas.loc		
dilemmas_localised_title_att_subject_religious_zoroastrian_illegal_practice_1	Заборонені обряди	true
dilemmas_localised_title_att_subject_politics_nomad_hostage	Заручник	true
dilemmas_localised_title_att_subject_politics_roman_hostage	Обдарований	true
dilemmas_localised_title_att_subject_domestic_nordic_the_flyting_1	Флайтін - дебати	true
dilemmas_localised_description_att_dilemma_military_none_war_child_1	Проходячи крізь уламки завойованого поселення, один із Ваших полководців чує плач. Це дитина, залишена в руїнах!	true
dilemmas_localised_title_att_subject_religious_none_the_true_cross_1	Істинний Хрест	true
dilemmas_localised_title_att_subject_religious_orthodox_illegal_practice_1	Заборонені обряди	true
dilemmas_localised_title_att_subject_religious_hun_lightning	Блискавка не б'є двічі	true
dilemmas_localised_title_att_eos_religious_event_rebellion_att_fact_himyar_att_rel_judaism	Рабин – відлучення	true
dilemmas_localised_description_cha_dilemma_viking_1_cha_fact_northumbria	Втомлений від Ваших нескінченних набігів, король Нортумбрії шукає нову угоду з вами, за якою Ваші атаки припиняться в обмін на плату. Він пропонує Вам власну ділянку землі у своєму королівстві або золото, якщо Ви приймете пропозицію. Прийняття цієї угоди означатиме мир між Вашими двома народами, але, звичайно, Ви можете прийняти це і зрадити його пізніше! Можливо, він має намір зробити те саме? Однак, якщо Ви цього забажаєте, Ви можете відмовити англійському народу в милосерді, продовжити свою лють і вселити страх у серця його людей. Вибір за вами!	true
dilemmas_localised_description_ollam_ri_picti	Століття гноблення та невизначеності придушили дух кельтського народу, але їхнє славне минуле, збережене в легендах, дає останній проблиск надії поколінню, яке шукає нового початку. Молодий Рі (король) відправляється в стародавнє серце острова, сповнений рішучості відкрити майбутнє для свого народу. Він знайде знання про це, або викує його сам!	true
dilemmas_localised_title_att_bel_request_justinian_photius_1	Прохання Юстиніана: Фотій	true
dilemmas_localised_description_att_subject_religious_none_the_relic_seller_1	Столичний торговець мощами нещодавно тринадцять разів продав гілку, яка топила святого Савву! Він пропонує Вам золото, якщо Ви подивитеся в інший бік.	true
dilemmas_localised_description_slav_dilemma_anteans_1	Хилібідій, як і обіцяв, був приведений до Вас і змушений підтвердити свою позицію – він стверджує, що є римським полководцем досить відомим. Якщо це правда, ми напевно чули б про нього раніше? І все-таки він пропонує заслужити довіру Імперії від нашого імені, якщо ми дозволимо йому повернутися. Сумнівів і тіней багато, але вибір залишається за вами...	true
dilemmas_localised_description_slav_dilemma_anteans_2	Жахлива новина, Господи! Хилібідій, полководець-раб, якого ми нещодавно відправили назад до Риму, виявився лише брехуном! Інший раб у таборі засвідчив під страхом смерті, що цей «Хілібідій» — не що інше, як шахрай. Він на шляху до імперської території, і це буде нелегко, але ми все одно можемо перехопити його, перш ніж він досягне їх.	true
dilemmas_localised_description_att_dilemma_religious_christian_the_manichean_heresy_1	Було скликано Синод, який вирішив, що дуалістичні вірування маніхейців заражали життя інших добрих християн. Папа надіслав листа, в якому говориться, що єретиків-маніхеїв треба вигнати з наших земель.	true
dilemmas_localised_description_att_subject_religious_arian_illegal_practice_1	Цей чоловік проповідував свої аріянські переконання на базарі, порушуючи нав’язані нами закони.	true
dilemmas_localised_description_att_subject_politics_barb_nomad_tribal_loyalty	Плем'я розколюється - дві групи в племені були спіймані, коли доводили одні одним, хто найбільш кровожерливий!	true
dilemmas_localised_title_att_subject_domestic_civil_master_agitator	Сільськогосподарський агітатор	true
dilemmas_localised_title_att_subject_religious_barb_bloodless	Безкровний баран	true
dilemmas_localised_title_att_bel_request_antoninia_rumours_1	Прохання Антоніни: чутки	true
dilemmas_localised_title_cha_dilemma_mercia_1	Залучення талантів	true
dilemmas_localised_title_att_political_action_dilemma_assassinate_wound_suspicious	Підозріла травма	true
dilemmas_localised_description_att_subject_military_nomad_master_swordsmith	Наші наїзники схопили вмілого майстра. Він стверджує, що здатний виготовляти мечі зі смертоносними вигнутими лезами сходу. Що нам з ним робити?	true
dilemmas_localised_description_ybor_level_A_alamanni	У твоїх чудових дворах молодий воїн, Ібор, неспокійно росте. Його серце прагне до дикої природи, сповненої великих випробувань, які заслужили репутацію людини, і він просить Вашого дозволу піти. Хоча його від’їзд завдає Вам болю, Ви знаєте, що він повернеться ще сильнішим, сформованим вибором, який він зробив під час своїх поневірянь. Який подарунок на прощання Ви робите?	true
dilemmas_localised_description_att_subject_religious_manichaeism_pilgrims_1	У Месопотамії, на батьківщині Мані, щороку відбувається велике зібрання, яке вони називають «Свято Бема». Це наші землі, чи варто допускати таке далі?	true
dilemmas_localised_title_att_subject_politics_civil_hostage	Улюбленець	true
dilemmas_localised_title_att_subject_religious_zoroastrian_pilgrims_1	Прочани	true
dilemmas_localised_description_att_subject_religious_hun_lightning	Перед Вами постає чоловік, який все ще димить, він стверджує, що в нього влучила блискавка. Напевно, це ознака того, що Тенгрі прихильно ставиться до нього?	true
dilemmas_localised_title_att_subject_domestic_all_stone_mason	Каменяр	true
dilemmas_localised_title_slav_dilemma_sclaveneans_1	Гуни стають здобиччю	true
dilemmas_localised_description_att_bel_request_justinian_photius_1	Аве, Велізарію! Так часто буває, що людина, яка найбільше відзначилася в битві, виявляє, що програє ту саму боротьбу у себе вдома. Можна подумати про царя Ахава, могутнього у війнах і політиці, настільки підвладного своїй злій дружині Єзавелі, що Бог знищив його та принизив його царство.\\n\\nТож Ви бачите справу, яка здається приватною та поза компетенцією. Справа суверена насправді тісно пов’язана з долею Імперії. Велізарію, ти знаєш, що твоя важливість неперевершена. Тому цілком правильно, що до Вас придивляються більше за усіх інших. Ваша дружина Антоніна вже деякий час скандалить у столиці. Деякі з моїх найцінніших агентів були підірвані її поведінкою, і я чув, що її остання схема спрямована проти її власного сина! Я більше цього терпіти не буду.\\n\\nМені боляче надсилати такий ультиматум людині, яка мені так добре служила, але я впевнений, що цей вчинок принесе Вам користь понад усе. Ти повинен уникати порад своєї дружини. Ось і все.	true
dilemmas_localised_title_att_subject_military_roman_master_hostile_governor	Неприязний губернатор	true
dilemmas_localised_description_att_subject_domestic_none_foreign_migrants_1	Через сусідні війни в наші міста приїжджає багато мігрантів і біженців. Вони приносять на наші землі гроші, а також свою підозрілу релігію та культуру. Деякі з Ваших міністрів просили, щоб їх усунули.	true
dilemmas_localised_description_cha_dilemma_viking_1_cha_fact_mercia	Втомившись від Ваших нескінченних набігів, королю Мерсії в Англії було досить, і він тепер шукає домовленості, за допомогою якої ці напади нарешті покладуть кінець. Він пропонує ділянку землі у своєму власному королівстві або золото, якщо Ви погодитесь. Прийняття цієї угоди означатиме мир між Вашими двома народами, але, звичайно, Ви можете прийняти це і зрадити його пізніше! Можливо, він має намір зробити те саме? Однак, якщо Ви цього забажаєте, Ви можете позбавити англійського народу милосердя, продовжити кидати свою лють і вселити страх у серця його людей. Вибір за вами!	true
dilemmas_localised_description_att_subject_religious_none_the_true_cross_1	У мене для Вас дуже особлива пропозиція. Пропозиція один раз у житті за частинку Істинного Хреста, взятого з Голгофи самим святим Петром.	true
dilemmas_localised_title_att_subject_domestic_barb_nomad_stolen_sword	Викрадений меч	true
dilemmas_localised_title_att_subject_domestic_eastern_the_chovgan_tourney_1	Змагання з човгану	true
dilemmas_localised_title_att_subject_religious_christian_the_black_sheep_1	Чорна вівця - біла ворона	true
dilemmas_localised_description_political_event_assassination	Зрада! Ходять чутки, що цей чоловік планує вбити члена Вашої родини! Доказів мало, але якщо Ви не діятимете, наслідки можуть бути жахливими.	true
dilemmas_localised_title_att_subject_politics_barb_nomad_challenger	Претендент	true
dilemmas_localised_title_att_eos_marib_dam_repair_2	Побічна шкода	true
dilemmas_localised_title_att_eos_marib_dam_repair_3	Побічна шкода	true
dilemmas_localised_title_att_eos_marib_dam_repair_0	Побічна шкода	true
dilemmas_localised_title_att_eos_marib_dam_repair_1	Побічна шкода	true
dilemmas_localised_title_att_subject_domestic_civil_hostile_dispute	Недружня суперечка	true
dilemmas_localised_description_att_subject_religious_arian_pilgrims_1	Аріяни перетинають нашу територію, щоб дістатися до святині.	true
dilemmas_localised_title_att_subject_diplomatic_none_border_dispute_1	Прикордонна суперечка	true
dilemmas_localised_title_att_subject_domestic_none_excess_materials_1	Надлишок матеріалів	true
dilemmas_localised_title_att_eos_sassanid_insult_1	Необережна розмова	true
dilemmas_localised_title_att_eos_sassanid_insult_3	Необережна розмова	true
dilemmas_localised_title_att_eos_sassanid_insult_2	Необережна розмова	true
dilemmas_localised_description_att_bel_request_theodosia_ioannina_1	Мої найщиріші вітання, Велізарію, з новиною про майбутнє заміжжя Вашої доньки! Анастасій — мій улюблений племінник, і я знаю, що він дуже порадує милу Йоаніну. Приємно бачити сім’ї, які досі були так тісно пов’язані узами дружби, патріотизму та вірності, нарешті пов’язані узами священного шлюбу.\\n\\nБезсумнівно, Ваша дружина пояснила незвичайний характер їхніх стосунків у присутність і моя роль у сприянні цьому. Це справді не ідеально, щоб вони жили разом у тілесному союзі до самої церемонії, але це здавалося неминучим, враховуючи любов пари та часті відкладення, на яких наполягала Ваша дружина. Я знаю, що вона розлючена через втрачену «чесноту» своєї доньки, але, на мій погляд, час завершення є вторинним щодо чистого наміру вийти заміж, і, безперечно, Бог, який бачить усі мотиви, побачить це понад усе. Можливо, вона забуває, Велізарію, що її власна чеснота навряд чи була недоторканою, коли Ви обоє вступили у свій благословенний союз. Утримайте її від необдуманих дій, благословіть цей союз, і цю неприємну ситуацію можна обернути тільки на користь.	true
dilemmas_localised_description_att_subject_military_none_war_child_1	Дитина, знайдена серед уламків міста, почала розпитувати про свою спадщину.	true
dilemmas_localised_description_att_bel_request_antoninia_rumours_1	Чоловік, який там вчора був галас! Однак я впевнена, що Вам просто потрібен був час, щоб заспокоїтися, перш ніж Ви могли чітко побачити правду. Я не хочу твоїх вибачень, але ти почуватимешся дуже дурним, коли почуєш, що насправді сталося.\\n\\nМи з Тео закопували скарб у підвалі! Ви так старанно працювали в Карфагені, завойовуючи всю цю здобич, і тепер Юстиніан просто очікує, що Ви її передасте, коли він лише сидів на своєму троні з пишним виглядом. Я приховала кілька приємних шматочків від збирачів, щоб Ви могли зберегти винагороду, на яку справді заслуговуєте. Лише потім ми зрозуміли, наскільки це все виглядало компрометуюче! Як нерозумно! У будь-якому разі, коли ти заспокоїшся, я надішлю тобі гроші, і ми зможемо забути про це.	true
dilemmas_localised_description_att_subject_religious_manichaeism_illegal_practice_1	Цей чоловік був схоплений за порушення санкцій, які ми наклали на маніхейську релігію.	true
dilemmas_localised_description_att_subject_domestic_barb_nomad_enemy_trade	Буває, що жага людини до вина засліплює її розум. Один із таких видатних племен був спійманий на експлуатації місцевих іммігрантів, щоб заплатити за напій, якого він так жадає.	true
dilemmas_localised_description_ollam_ri_B2	Голови братів лежать у пилу біля ніг Рі-корля. Вражені Вашим швидким судженням люди подають Вам нову справу. Чоловік, Брес, є королем репресивного племені, підкупленого під час недавнього конфлікту. В обмін на своє життя він пропонує Вам секрети родючості гарантуючи Вам рясні врожаї та корів, які ніколи не висихають.	true
dilemmas_localised_description_ollam_ri_B1	Як і було обіцяно, троє синів Туїреанна повертаються з закривавленою свинячою шкурою. Проте вони заплатили дорогу ціну – усі троє несуть смертельні рани. Вони стверджують, що шкіра має потужну лікувальну силу, і благають Рі перев'язати нею їхні рани. Натомість вони обіцяють дати відповідь на будь-яке питання під сонцем.	true
dilemmas_localised_description_att_subject_domestic_none_workers_on_strike_1	Вимагаємо кращих умов праці. Ми не раби.	true
dilemmas_localised_title_att_bel_request_justinian_narses_1	Прохання Юстиніана: Нарсес	true
dilemmas_localised_title_att_subject_religious_none_the_holy_site_1	Святе місце	true
dilemmas_localised_description_att_subject_domestic_all_stone_mason	Вам представився іноземець, який претендує на те, щоб бути великим каменярем. Бажаєте взяти його до себе на службу?	true
dilemmas_localised_description_ollam_ri_A2	Горн був правильний! Старий передає блискучого лосося, але перш ніж Рі встигає вкусити, він вражений виглядом чоловіка, який сидів на гілках дерева. Він стверджує, що він Божевільний Шуйбне, король, проклятий жити напівпташиним життям і змушений стрибати з дерева на дерево при найменшому шумі.	true
dilemmas_localised_description_ollam_ri_A3	Смакуючи вкраденим лососем, Рі блукає далі берегом. Там він бачить таємничу молоду жінку, яка пасе своїх коней. Рі в двох розумах. З одного боку, вона може бути келпі, яка доглядає за своїм злим потомством. З іншого боку, вона може бути доброзичливою молодою селянкою.	true
dilemmas_localised_description_ollam_ri_A1	Старий твердо хитає головою – друїд не був відповіддю. Засмучений Рі продовжує свою дорогу, але відразу його відволікає вид великого чорного кота з плямою на грудях. Воно з певною зухвалістю бреде до Рі, вимагаючи його уваги. Що він робить?	true
dilemmas_localised_description_att_subject_religious_zoroastrian_pilgrims_1	Стародавній храм, у якому живе Аташ Адаран, знаходиться в межах наших кордонів, на вершині гори Кхадже. Деякий час туди мандрували зороастрійці. Ваш міністр просить заборонити їм вхід.	true
