key	text	tooltip
#Loc;1;text/db/encyclopedia_building_chain_groups.loc		
encyclopedia_building_chain_groups_localised_name_provincial_capital	Столиця провінції	true
encyclopedia_building_chain_groups_localised_name_industrial	Промислова	true
encyclopedia_building_chain_groups_localised_name_city_centre	Центр міста	true
encyclopedia_building_chain_groups_localised_name_sanitation	Санітарна	true
encyclopedia_building_chain_groups_localised_name_military	Військова	true
encyclopedia_building_chain_groups_localised_name_minor_settlement	Маленьке поселення	true
encyclopedia_building_chain_groups_localised_name_religious	Релігійна	true
encyclopedia_building_chain_groups_localised_name_agricultural	Сільськогосподарська	true
encyclopedia_building_chain_groups_localised_name_port	Порт	true
