key	text	tooltip
#Loc;1;text/db/ui_unit_bullet_point_enums.loc		
ui_unit_bullet_point_enums_onscreen_name_att_wardogs	Є бойові собаки	true
ui_unit_bullet_point_enums_onscreen_name_att_ramming	Руйнівний таран	true
ui_unit_bullet_point_enums_onscreen_name_att_charge_strong	Нищівний напад	true
ui_unit_bullet_point_enums_onscreen_name_att_average_negative	Середн.	true
ui_unit_bullet_point_enums_onscreen_name_att_very_low	Дуже низьк.	true
ui_unit_bullet_point_enums_onscreen_name_att_average_positive	Середн.	true
ui_unit_bullet_point_enums_onscreen_name_att_ramming_heavy	Нищівний таран	true
ui_unit_bullet_point_enums_onscreen_name_att_has_ranged_weapon_shp	Є стрілецька зброя	true
ui_unit_bullet_point_enums_onscreen_name_att_greek_fire	Грецький вогонь	true
ui_unit_bullet_point_enums_onscreen_name_att_high	Висок.	true
ui_unit_bullet_point_enums_onscreen_name_att_has_ranged_weapon	Є стрілецька зброя	true
ui_unit_bullet_point_enums_onscreen_name_att_good	Добр.	true
ui_unit_bullet_point_enums_onscreen_name_att_poor	Поган.	true
ui_unit_bullet_point_enums_onscreen_name_att_very_poor	Дуже поган.	true
ui_unit_bullet_point_enums_onscreen_name_att_scattershot	Стріляють трьома снарядами	true
ui_unit_bullet_point_enums_onscreen_name_att_very_high	Дуже висок.	true
ui_unit_bullet_point_enums_onscreen_name_att_low	Низьк.	true
ui_unit_bullet_point_enums_onscreen_name_att_ammo_refill	Можливість поповнення боєприпасів	true
ui_unit_bullet_point_enums_onscreen_name_att_has_grenade	Є гранати	true
ui_unit_bullet_point_enums_onscreen_name_att_encourage	Підвищують моральний дух союзників	true
ui_unit_bullet_point_enums_onscreen_name_att_excellent	Відмін.	true
ui_unit_bullet_point_enums_onscreen_name_att_unit_small	Малий загін	true
