key	text	tooltip
#Loc;1;text/db/dilemmas.loc		
dilemmas_localised_title_att_subject_religious_zoroastrian_illegal_practice_1	Illegal Practice	true
dilemmas_localised_title_att_subject_politics_nomad_hostage	The Hostage	true
dilemmas_localised_title_att_subject_politics_roman_hostage	The Prodigy	true
dilemmas_localised_title_att_subject_domestic_nordic_the_flyting_1	The Flyting	true
dilemmas_localised_description_att_dilemma_military_none_war_child_1	Walking through the wreckage of a conquered settlement, one of your generals hears a cry. It is a baby, abandoned in the ruins!	true
dilemmas_localised_title_att_subject_religious_none_the_true_cross_1	The True Cross	true
dilemmas_localised_title_att_subject_religious_orthodox_illegal_practice_1	Illegal Practice	true
dilemmas_localised_title_att_subject_religious_hun_lightning	Lightning Doesn't Strike Twice	true
dilemmas_localised_title_att_eos_religious_event_rebellion_att_fact_himyar_att_rel_judaism	The Rabbi – Exclusion	true
dilemmas_localised_description_cha_dilemma_viking_1_cha_fact_northumbria	Tired of your endless raids, the Northumbrian king seeks a new agreement with you, whereby your attacks cease in return for payment. He offers you your own plot of land from within his own kingdom, or gold should you prefer it. Acceptance of this deal will mean peace between your two peoples, but of course you could accept it and betray him later! Perhaps he means to do the same? However, should you wish it you can deny the English people mercy, continue on your profitable rampage and strike fear into the hearts of its people. The choice is yours!	true
dilemmas_localised_description_ollam_ri_picti	Centuries of oppression and uncertainty have smothered the spirit of the Celtic people, but their glorious past, preserved in legend, provides the last glimmer of hope to a generation seeking a new beginning. At the ancient heart of the island, the young Ri departs, determined to discover the future in store for his people. He will find knowledge of it, or forge it himself!  	true
dilemmas_localised_title_att_bel_request_justinian_photius_1	A Request From Justinian: Photius	true
dilemmas_localised_description_att_subject_religious_none_the_relic_seller_1	A man selling relics in the capital has recently sold the branch that drowned Saint Sabbas thirteen times! He is offering you gold if you'll look the other way.	true
dilemmas_localised_description_slav_dilemma_anteans_1	Chilibidius, as promised, has been brought before you and made to restate his position – he claims to be a Roman general of quite some prestige. If this is true, surely we would have heard of him before now? All the same, he offers to curry favour with the Empire in our name if we allow him to return. Doubts and shadows abound, but the choice is ultimately yours…	true
dilemmas_localised_description_slav_dilemma_anteans_2	Dire news, lord! Chilibidius, the slave general we recently sent back to Rome, has been proven nothing but a liar! Another slave in the camp testified, under pain of death, that this ‘Chilibidius’ is nothing but a rogue. He is well on his way to reaching Imperial territory, and it will be no easy feat, but we could still possibly intercept him before he reaches them.	true
dilemmas_localised_description_att_dilemma_religious_christian_the_manichean_heresy_1	A Synod has been called, deciding that the dualist beliefs of the Manichaeists have been infecting the lives of otherwise good Christians. The Pope has sent a letter, stating that the Manichaean heretics should be driven from our lands.	true
dilemmas_localised_description_att_subject_religious_arian_illegal_practice_1	This man has been preaching his Arian beliefs in the market, breaking the laws we have imposed.	true
dilemmas_localised_description_att_subject_politics_barb_nomad_tribal_loyalty	The tribe grows fractious – two groups within it have been caught fighting to prove who is the most blood-thirsty!	true
dilemmas_localised_title_att_subject_domestic_civil_master_agitator	Agrarian Agitator	true
dilemmas_localised_title_att_subject_religious_barb_bloodless	The Bloodless Ram	true
dilemmas_localised_title_att_bel_request_antoninia_rumours_1	A Request From Antonina: Rumours	true
dilemmas_localised_title_cha_dilemma_mercia_1	Talent Acquisition	true
dilemmas_localised_title_att_political_action_dilemma_assassinate_wound_suspicious	A Suspicious Injury	true
dilemmas_localised_description_att_subject_military_nomad_master_swordsmith	A skilled craftsman has been captured by our outriders. He claims the ability to make swords with the deadly curved blades of the east. What should we do with him?	true
dilemmas_localised_description_ybor_level_A_alamanni	In your splendid courts a young warrior, Ybor, grows restless. His heart yearns for the wilds, teeming with the great trials that earn a man repute, and he beseeches your permission to leave. Though his departure pains you, you know that he will return all the stronger, shaped by the choices he makes in his wanderings. What parting gift do you bestow?	true
dilemmas_localised_description_att_subject_religious_manichaeism_pilgrims_1	In Mesopotamia, the birthplace of Mani, a large gathering, which they call a 'Bema Fest', takes place annually. These are our lands, should we let such things continue?	true
dilemmas_localised_title_att_subject_politics_civil_hostage	The Protégé	true
dilemmas_localised_title_att_subject_religious_zoroastrian_pilgrims_1	Pilgrims	true
dilemmas_localised_description_att_subject_religious_hun_lightning	A man is brought before you, still smoking, he claims to have been struck by lightning. Surely this is a sign that he is favoured by Tengri?	true
dilemmas_localised_title_att_subject_domestic_all_stone_mason	The Stonemason	true
dilemmas_localised_title_slav_dilemma_sclaveneans_1	The Hun Becomes the Hunted	true
dilemmas_localised_description_att_bel_request_justinian_photius_1	Ave, Belisarius! It is so often the case that the man who distinguishes himself most highly in battle finds himself losing the same struggle in his very home. One thinks of King Ahab, mighty in battle and politics, so under the sway of his evil wife, Jezebel, that God destroyed him and brought low his kingdom.\\n\\nSo you see a matter that seems private and outside the remit of the sovereign is in fact a matter closely entwined with the fortunes of Empire. Belisarius, you are aware that your importance is second to none. It is only right, therefore, that you are scrutinised above all others. Your wife, Antonina, has been stirring scandal for some time in the capital. Some of my most valuable agents have been undermined by her behaviour and I hear that her latest scheme is directed at her own son! I will tolerate it no longer.\\n\\nIt pains me to send such an ultimatum to one who has served me so well, but I am confident that this action will benefit you above all others. You must shun the council of your wife. That is all.	true
dilemmas_localised_title_att_subject_military_roman_master_hostile_governor	Hostile Governor	true
dilemmas_localised_description_att_subject_domestic_none_foreign_migrants_1	Due to the neighbouring wars, there are many migrants and refugees entering our cities. They are bringing money, but also their suspect religion and cultures to our lands. Some of your ministers have asked that they be ejected.	true
dilemmas_localised_description_cha_dilemma_viking_1_cha_fact_mercia	Tired of your endless raids, the king of Mercia, in England, has had enough, and is now seeking an arrangement by which these attacks will finally come to an end. He offers a plot of land within his own kingdom, or gold should you prefer it. Acceptance of this deal will mean peace between your two peoples, but of course you could accept it and betray him later! Perhaps he means to do the same? However, should you wish it you can deny the English people mercy, continue on your profitable rampage and strike fear into the hearts of its people. The choice is yours!	true
dilemmas_localised_description_att_subject_religious_none_the_true_cross_1	I have a very special deal for you. A once in a lifetime offer for a piece of the True Cross, taken from Golgotha by St Peter himself.	true
dilemmas_localised_title_att_subject_domestic_barb_nomad_stolen_sword	The Stolen Sword	true
dilemmas_localised_title_att_subject_domestic_eastern_the_chovgan_tourney_1	The Chovgan Tourney	true
dilemmas_localised_title_att_subject_religious_christian_the_black_sheep_1	The Black Sheep	true
dilemmas_localised_description_political_event_assassination	Treachery! Rumour has it that this man is plotting to assassinate a member of your family! There is little proof, but if you do not act the consequences could be dire.	true
dilemmas_localised_title_att_subject_politics_barb_nomad_challenger	The Challenger	true
dilemmas_localised_title_att_eos_marib_dam_repair_2	Collateral Damage	true
dilemmas_localised_title_att_eos_marib_dam_repair_3	Collateral Damage	true
dilemmas_localised_title_att_eos_marib_dam_repair_0	Collateral Damage	true
dilemmas_localised_title_att_eos_marib_dam_repair_1	Collateral Damage	true
dilemmas_localised_title_att_subject_domestic_civil_hostile_dispute	Hostile Dispute	true
dilemmas_localised_description_att_subject_religious_arian_pilgrims_1	Arians are crossing our territory in order to reach a holy site.	true
dilemmas_localised_title_att_subject_diplomatic_none_border_dispute_1	Border Dispute	true
dilemmas_localised_title_att_subject_domestic_none_excess_materials_1	Excess Materials	true
dilemmas_localised_title_att_eos_sassanid_insult_1	Careless Talk	true
dilemmas_localised_title_att_eos_sassanid_insult_3	Careless Talk	true
dilemmas_localised_title_att_eos_sassanid_insult_2	Careless Talk	true
