key	text	tooltip
#Loc;1;text/db/event_feed_categories.loc		
event_feed_categories_category_title_att_event_category_agent	Дії агентів	true
event_feed_categories_category_title_att_event_category_world	Світ	true
event_feed_categories_category_title_att_event_category_traits_ancillaries	Риси та господа	true
event_feed_categories_category_title_att_event_category_faction	Держава	true
event_feed_categories_category_title_att_event_category_diplomacy	Дипломатія	true
event_feed_categories_category_title_att_event_category_military	Військові дії	true
event_feed_categories_category_title_att_event_category_conquest	Завоювання	true
event_feed_categories_category_title_att_event_category_character	Персонажі	true
event_feed_categories_category_title_att_event_category_provinces	Діяльність провінцій	true
