key	text	tooltip
#Loc;1;text/db/campaign_subject_strings.loc		
campaign_subject_strings_string_att_subject_politics_civil_challenger_flavour	І політики, і публіка закохані в чудового молодого оратора, він явно амбітний і завойовує прихильність натовпу. Хоча він ще не зневажав Вас, але він не підтримує Ваші починання.	true
campaign_subject_strings_string_att_subject_domestic_none_foreign_migrants_1_flavour	Через сусідні війни в наші міста приїжджає багато мігрантів і біженців. Вони приносять на наші землі гроші, а також свою підозрілу релігію та культуру. Деякі з Ваших міністрів просили, щоб їх усунули.	true
campaign_subject_strings_string_att_subject_nomadic_tribal_strife_1_flavour	У нашому суспільстві є люди з багатьох племен, і іноді старі образи випливають на поверхню. Дві з цих груп посварилися і протистоять одна одній. Якщо справу не вирішити найближчим часом, це може призвести до розколу орди!	true
campaign_subject_strings_string_att_subject_domestic_nomad_sword_of_attila_flavour	Перед Вами прийшов фермер і розповів про меч, який він знайшов, коли один із його отари порізав собі щиколотку об могутнє лезо. Він стверджує, що меч — це подарунок, призначений тільки Вам.	true
campaign_subject_strings_string_att_subject_domestic_barb_temple_sacrilege_flavour	Якогось дурня спіймали, коли він псував храм Юпітера. До таких питань не слід ставитися легковажно.	true
campaign_subject_strings_string_att_subject_religious_christian_pontifex_maximus_1_flavour	Нашого єпископа, як священнослужителя високого рангу, було обрано кандидатом на папський престол.	true
campaign_subject_strings_string_att_subject_religious_manichaeism_illegal_practice_1_flavour	Цей чоловік був схоплений за порушення санкцій, які ми наклали на маніхейську релігію.	true
campaign_subject_strings_string_att_subject_domestic_roman_a_little_flutter_2_flavour	Наступного місяця цей ветеран проведе багато боїв на арені. Його протистоять набагато молодшому бійцеві. Хочете зробити ставку? 500 талантів має бути достатньо.	true
campaign_subject_strings_string_att_subject_domestic_roman_a_little_flutter_1_flavour	Перспективний молодий гладіатор, який, як очікується, зробить собі ім'я, протистоїть жорсткому супернику. Бажаєте зробити ставку? 500 талантів має бути достатньо.	true
campaign_subject_strings_string_att_subject_military_none_the_spy_1_flavour	Ми затримали старого, який шпигував за нашими військами. Він уже визнав свою провину, що з ним робити?	true
campaign_subject_strings_string_att_subject_military_nomad_master_swordsmith_flavour	Наші наїзники схопили вмілого майстра. Він стверджує, що здатний виготовляти мечі зі смертоносними вигнутими лезами сходу. Що нам з ним робити?	true
campaign_subject_strings_string_att_subject_religious_manichaeism_pilgrims_1_flavour	У Месопотамії, на батьківщині Мані, щороку відбувається велике зібрання, яке вони називають «Свято Бема». Це наші землі, чи варто допускати таке далі?	true
campaign_subject_strings_string_att_subject_military_none_drunk_on_watch_1_flavour	Цей чоловік був п'яний, коли мав бути на вахті. Головною причиною, здається, є заповнення наших елітних військ цими дурнями.	true
campaign_subject_strings_string_att_subject_religious_barb_stranger_flavour	Поміж нас з’явився незнайомець у капюшоні й плащі. Він стверджує, що знає місце розташування давно втраченого священного місця, яке він покаже Вам за певну ціну.	true
campaign_subject_strings_string_att_subject_diplomatic_none_tribute_1_flavour	Вітаю. Я приніс подарунок від свого народу, щоб ми могли покращити стосунки.	true
campaign_subject_strings_string_att_subject_religious_zoroastrian_illegal_practice_1_flavour	Ми спіймали цю людину, яка вклонялася вічному вогню у себе вдома. Це суперечить законам країни.	true
campaign_subject_strings_string_att_subject_religious_barb_bloodless_flavour	Баран, повішений у священній жертві богам, абсолютно безкровний! З істоти не можна вичавити жодної краплі. Ми повинні щось зробити, щоб задобрити богів.	true
campaign_subject_strings_string_att_subject_domestic_none_the_silk_trader_1_flavour	Прибув іноземний торговець із пачками шовку. Кажуть, що він знає про таємний торговий шлях, по якому проходить багато цінних товарів. Його товари заповнюють ринок, знижуючи ціни та прибутки.	true
campaign_subject_strings_string_att_subject_domestic_all_stone_mason_flavour	Вам представився іноземець, який претендує на те, щоб бути великим каменярем. Бажаєте взяти його до себе на службу?	true
campaign_subject_strings_string_att_subject_religious_zoroastrian_pilgrims_1_flavour	Стародавній храм, у якому живе Аташ Адаран, знаходиться в межах наших кордонів, на вершині гори Кхадже. Деякий час туди мандрували зороастрійці. Ваш міністр просить заборонити їм вхід.	true
campaign_subject_strings_string_att_subject_domestic_barb_nomad_stolen_sword_flavour	Мечі — це предмет гордості, але такі дорогоцінні речі також можуть викликати невдоволення… Син Вашого брата стверджує, що інший викрав його меч. Обвинувачений це заперечує.	true
campaign_subject_strings_string_att_subject_domestic_none_excess_materials_1_flavour	Господи, завдяки успіху недавнього будівельного проекту залишилося багато матеріалів. Що нам з ними робити?	true
campaign_subject_strings_string_att_subject_diplomatic_none_border_dispute_1_flavour	Уздовж кордонів нашої країни селянин сусідньої держави претендує на землю, що належить одному з наших, як на свою.	true
campaign_subject_strings_string_att_subject_domestic_none_hidden_treasure_1_flavour	Ми знайшли великий скарб золота, захований у печері під час видобутку. Що нам з цим робити?	true
campaign_subject_strings_string_att_subject_domestic_civil_idiot_magistrate_flavour	Один із Ваших суддів прийшов сказати Вам, що він втратив свою посаду. Що ти хочеш зробити?	true
campaign_subject_strings_string_att_subject_religious_none_the_relic_seller_1_flavour	Столичний торговець мощами нещодавно тринадцять разів продав гілку, яка топила святого Савву! Він пропонує Вам золото, якщо Ви подивитеся в інший бік.	true
campaign_subject_strings_string_att_subject_religious_christian_the_money_lender_1_flavour	Виявили, що диякон місцевої церкви позичав гроші та брав відсотки. Згідно з канонами Карфагена, жоден член духовенства не може отримувати прибуток від лихварства. Що з ним робити?	true
campaign_subject_strings_string_att_subject_domestic_barb_nomad_enemy_trade_flavour	Буває, що жага людини до вина засліплює її розум. Одного такого видатного представника племені спіймали на продажу Ваших рабів ворогу в обмін на напій, якого він так жадає.	true
campaign_subject_strings_string_att_subject_politics_civil_secret_meetings_flavour	Ходять чутки, що в тіні та забутих місцях зустрічаються Ваші політичні суперники. Хто знає, що обговорюється на цих таємних збіговиськах? Будемо сподіватися, що це не Ви...	true
campaign_subject_strings_string_att_subject_religious_none_the_holy_site_1_flavour	Коли я прокинувся сьогодні вранці, навколо скелі на моїх полях стояв великий натовп людей. Вони стверджують, що святий Віт колись відпочивав там по дорозі до Риму. Вони псують мій урожай!	true
campaign_subject_strings_string_att_subject_military_none_war_child_1_flavour	Дитина, знайдена серед уламків міста, почала розпитувати про свою спадщину.	true
campaign_subject_strings_string_att_subject_politics_rome_corruption_flavour	Коли натовп говорить, керівництво має слухати. Люди закликають до чистоти своїх політиків: кінець підкладці їхніх кишень ціною слави Риму.	true
campaign_subject_strings_string_att_subject_religious_christian_candidate_for_bishop_flavour	Несу звістку від Святої Церкви. Чоловік, визнаний своїм благочестям та відданістю, має бути висвячений на єпископа. Ви згодні?	true
campaign_subject_strings_string_att_subject_domestic_none_workers_on_strike_1_flavour	Вимагаємо кращих умов праці. Ми не раби.	true
campaign_subject_strings_string_att_subject_domestic_eastern_the_chovgan_tourney_1_flavour	Ходять чутки, що на майбутніх Човганських іграх один із наших полководців виступатиме в маскуванні. Хоча здобутий престиж буде великим, він може отримати травму під час участі.	true
campaign_subject_strings_string_att_subject_politics_civil_hostage_flavour	Римський хлопець, узятий у заручники, довів свою цінність і став би чудовим доповненням до суду. Що ти хочеш з ним робити?	true
campaign_subject_strings_string_att_subject_military_roman_master_hostile_governor_flavour	Місцевий губернатор вороже ставиться до Ваших цілей. Він голосно проголошує своїм підданим і всім, хто його слухає, що він повинен керувати легіонами.	true
campaign_subject_strings_string_att_subject_politics_barb_nomad_challenger_flavour	Один із молодших воїнів хвалився перед усіма, що його методи найкращі, що він убив більше, ніж Ви могли б, і він народить більше дітей. Він молодий лев, що кидає виклик лідеру прайду…	true
campaign_subject_strings_string_att_subject_domestic_civil_hostile_dispute_flavour	Вулиці заповнені балаканиною на Ваш рахунок. Ваш двоюрідний брат був залучений в агресивну суперечку в громадському місці. Вуличні артисти вже пліткують з Вас.	true
campaign_subject_strings_string_att_subject_domestic_none_withholding_taxes_1_flavour	Мій пане, як один із Ваших збирачів податків, я мушу повідомити, що деякі громадяни утримувалися від сплати Ваших справедливих податків.	true
campaign_subject_strings_string_att_subject_military_none_the_gift_of_speed_1_flavour	Місцевий дворянин, шукаючи прихильності, дає нам чудових лошат, щоб ми могли робити з ними, як хочемо.	true
campaign_subject_strings_string_att_subject_politics_roman_hostage_flavour	Перський хлопчик, узятий у заручники, довів, що він справжній римлянин і чудовий у всьому, що він робить. Як має розвиватися хлопець в майбутньому?	true
campaign_subject_strings_string_att_subject_politics_nomad_hostage_flavour	Хлопчик, якого ми взяли в заручники, перейняв наш спосіб життя, він відмінно їздить на коні та відмінно володіє луком і стрілами. Що ти хочеш з ним робити?	true
campaign_subject_strings_string_att_subject_domestic_civil_master_agitator_flavour	Амбітний політик планує завдати лиха за Ваш рахунок. Він бажає, щоб Ви впоралися з боргами, накопиченими деякими місцевими селянами, і має велику підтримку від людей.	true
campaign_subject_strings_string_att_subject_religious_hun_lightning_flavour	Перед Вами постає чоловік, який все ще димить, він стверджує, що в нього влучила блискавка. Напевно, це ознака того, що Тенгрі прихильно ставиться до нього?	true
campaign_subject_strings_string_att_subject_religious_none_the_true_cross_1_flavour	У мене для Вас дуже особлива пропозиція. Пропозиція один раз у житті за частинку Істинного Хреста, взятого з Голгофи самим святим Петром.	true
campaign_subject_strings_string_att_subject_military_none_mercenary_commander_1_flavour	Ватажок найманців, що проходить, шукає роботи. Він пропонує нам свої мечі та вірність, якщо ми готові заплатити наперед…	true
campaign_subject_strings_string_att_subject_religious_catholic_illegal_practice_1_flavour	Ми спіймали цього чоловіка, який намагався організувати латинське християнське богослужіння. Тут такі речі заборонені.	true
campaign_subject_strings_string_att_subject_religious_germanic_illegal_practice_1_flavour	Цього чоловіка схопили за порушення санкцій, які ми наклали на практику язичницьких германських релігій.	true
campaign_subject_strings_string_att_subject_religious_hellenic_illegal_practice_1_flavour	Було помічено, що ця людина порушує санкції, які ми наклали на поклоніння старим богам.	true
campaign_subject_strings_string_att_subject_religious_celtic_illegal_practice_1_flavour	Ми знайшли цю жінку, яка випивала в невеликому храмі, який вона побудувала для свого бога Суцелла, зображення якого ми заборонили.	true
campaign_subject_strings_string_att_subject_religious_catholic_pilgrims_1_flavour	Сотні латинських християн-прочан прямують до Храму Гробу Господнього, на горі Голгофа, що знаходиться на наших землях. Якщо це не контролювати, це може призвести до повномасштабної міграції, ми повинні запобігти подальшому прочанству.	true
campaign_subject_strings_string_att_subject_religious_hellenic_pilgrims_1_flavour	Місце храму Аполлона, зруйнованого імператором Феодосієм, донині приваблює послідовників Аполлона.	true
campaign_subject_strings_string_att_subject_religious_germanic_pilgrims_1_flavour	Послідовники Бальдра збираються в сусідньому лісі сотнями. Певно, що там відбуватимуться мерзенні язичницькі ритуали. Ми повинні зупинити їх?	true
campaign_subject_strings_string_att_subject_diplomatic_none_turncoat_1_flavour	Прибув втікач, який стверджує, що він агент суперницької держави. Він попросив притулку, але його колишні роботодавці вимагають його повернення. Він запропонував нам цінні державні таємниці, якщо ми захистимо його…	true
campaign_subject_strings_string_att_subject_religious_celtic_pilgrims_1_flavour	Велике кам'яне коло стоїть на пагорбі біля моря. Це вже давно місце кельтського ритуалу. Ми повинні не дати варварам поклонятися там.	true
campaign_subject_strings_string_att_subject_religious_hun_shaman_flavour	Перед Вами постає шаман, який стверджує, що бачив видіння, у якому небо потемніло від Вашого наступу. Він каже, що ти завершиш кінець всіх днів.	true
campaign_subject_strings_string_att_subject_religious_arian_illegal_practice_1_flavour	Цей чоловік проповідував свої аріянські переконання на базарі, порушуючи нав’язані нами закони.	true
campaign_subject_strings_string_att_subject_religious_christian_the_black_sheep_1_flavour	Було виявлено, що жінка, сестра популярного місцевого диякона, таємно поклоняється язичницьким богам. Як стверджує канон, ніхто не може бути священником, якщо вся його родина не є християнською...	true
campaign_subject_strings_string_att_subject_politics_barb_nomad_tribal_loyalty_flavour	Плем'я розколюється - дві групи в племені були спіймані, коли доводили одні одним, хто найбільш кровожерливий!	true
campaign_subject_strings_string_att_subject_religious_tengri_illegal_practice_1_flavour	Цю людину схопили за порушення санкцій, які ми наклали на релігію Тенгрі.	true
campaign_subject_strings_string_att_subject_religious_zoroastrian_corpse_flavour	Один із Ваших підданих закопав труп своєї дружини в стінах свого будинку. Спілкування з мертвими - це огида, що нам робити з цією людиною?	true
campaign_subject_strings_string_att_subject_religious_orthodox_illegal_practice_1_flavour	Навіть незважаючи на санкції, накладені на грецьких християн, цю людину визнали їх порушником.	true
campaign_subject_strings_string_att_subject_domestic_nordic_the_flyting_1_flavour	Цієї ж ночі у великій залі будуть сварки, оскільки наші дворяни змагатимуться в флитінгу (дебатах). Бажаєте взяти участь? Якщо ні, один із наших полководців запропонував Вас представляти.	true
campaign_subject_strings_string_att_subject_religious_arian_pilgrims_1_flavour	Аріяни перетинають нашу територію, щоб дістатися до святині.	true
campaign_subject_strings_string_att_subject_religious_tengri_pilgrims_1_flavour	Несучи з собою свої намети та коней, послідовники Тенгрі стікаються до річки Галіс, одного з їхніх святих місць. Якби ми забажали, ми могли б не дати їм повернутися.	true
