key	text	tooltip
#Loc;1;text/db/battlefield_buildings_names.loc		
battlefield_buildings_names_onscreen_name_building	Будівля	true
battlefield_buildings_names_onscreen_name_arrow_tower	Вежа лучників	true
battlefield_buildings_names_local_effects_description_scorpio_tower	Стріляє болтами арбалетів у ворогів поблизу	true
battlefield_buildings_names_onscreen_name_fort_tower	Вежа фортеці	true
battlefield_buildings_names_onscreen_name_gate_oil	Кипляча олія вежа воріт	true
battlefield_buildings_names_local_effects_description_gate	Дозволяє прохід до та з поселення	true
battlefield_buildings_names_onscreen_name_watchtower	Сторожова вежа	true
battlefield_buildings_names_onscreen_name_barricade	Барикада	true
battlefield_buildings_names_onscreen_name_fort_wall	Стіна фортеці	true
battlefield_buildings_names_local_effects_description_gate_oil	Поливає киплячею олію найближчих ворогів	true
battlefield_buildings_names_local_effects_description_barricade	Зупиняє проходження загонів, поки не буде знищено.	true
battlefield_buildings_names_onscreen_name_bridge	Міст	true
battlefield_buildings_names_onscreen_name_house	Будинок	true
battlefield_buildings_names_local_effects_description_watchtower	Стріляє по ворогам поблизу	true
battlefield_buildings_names_onscreen_name_ruin	Руїни	true
battlefield_buildings_names_onscreen_name_scorpio_tower	Вежа із Скорпіоном	true
battlefield_buildings_names_onscreen_name_gate	Вежа воріт	true
battlefield_buildings_names_local_effects_description_fort_tower	Стріляє по ворогам поблизу	true
battlefield_buildings_names_local_effects_description_arrow_tower	Випускає стріли по ворогам поблизу	true
