key	text	tooltip
#Loc;1;text/db/quotes_people.loc		
quotes_people_quote_person_onscreen_pyrrhus	Pyrrhus of Epirus (319 - 272BC), following his victory at Asculum	true
quotes_people_quote_person_onscreen_mk_hulagu_mamluk	Hulagu, Mongol Khan of the Ilkhanate (AD1218-1265), to the Mamluk Sultan	true
quotes_people_quote_person_onscreen_mk_saint_louis	Saint Louis IX, King of France (AD1214-1270)	true
quotes_people_quote_person_onscreen_mk_hypatian_codex	Hypatian Codex (15th century AD)	true
quotes_people_quote_person_onscreen_tacitus_histories	Tacitus, Roman historian (AD56 - 117), from 'The Histories'	true
quotes_people_quote_person_onscreen_shakespeare_titus	William Shakespeare, English playwright (AD1564 - 1616), from Titus Andronicus	true
quotes_people_quote_person_onscreen_mk_chand_bardai	Chand Bardai, Indian poet, from his 'Prithviraj Raso'	true
quotes_people_quote_person_onscreen_mk_martin_luther	Martin Luther, German friar and theologian (AD1483-1546)	true
quotes_people_quote_person_onscreen_terence	Terence, Roman playwright (195 - 159BC)	true
quotes_people_quote_person_onscreen_mk_arnaud_amaury	Arnaud Amaury, Abbot of Citeaux (AD1160-1225)	true
quotes_people_quote_person_onscreen_mk_roger_daflor	Ruggero da Fiore, Leader of the Catalan company	true
quotes_people_quote_person_onscreen_priscus	Priscus, Roman diplomat and historian (c. AD410 - 472), at Attila's court	true
quotes_people_quote_person_onscreen_mk_shakespeare_henryVI	William Shakespeare, English playwright (AD1564-1616), from his 'King Henry VI'	true
quotes_people_quote_person_onscreen_nero_mushrooms	Nero, Roman Emperor (AD15 - 68), on the mushrooms that poisoned Claudius	true
quotes_people_quote_person_onscreen_marcian	Marcian, Roman Emperor (AD392 - 457)	true
quotes_people_quote_person_onscreen_martial	Martial, Latin poet (AD40 - 104)	true
quotes_people_quote_person_onscreen_mk_doge_dandolo	Enrico Dandolo, Doge of Venice (AD1107-1205)	true
quotes_people_quote_person_onscreen_mk_anon_ivan_aleksandar	Anonymous, of Tsar Ivan Aleksandar (died AD1371)	true
quotes_people_quote_person_onscreen_mk_babur	Babur, Timurid Prince and Mughal Emperor (AD1483-1530) from his 'Baburnama'	true
quotes_people_quote_person_onscreen_maharbal_cannae	Maharbal, Carthaginian cavalry commander (c. 2nd century BC), following Hannibal's victory at Cannae	true
quotes_people_quote_person_onscreen_mk_timur	Timur, Chagatayid commander and ruler (AD1336-1405)	true
quotes_people_quote_person_onscreen_phormio	Phormio, Athenian admiral (c. 428BC)	true
quotes_people_quote_person_onscreen_mk_shakespeare_richardIII	William Shakespeare, English playwright (AD1564-1616), from his 'King Richard III'	true
quotes_people_quote_person_onscreen_ambrose	Saint Ambrose (AD330 - 397)	true
quotes_people_quote_person_onscreen_archimedes_last	Archimedes, Greek inventor (287 - 212BC), his last words	true
quotes_people_quote_person_onscreen_mk_corneille_cid	Pierre Corneille, French playwright (AD1606-1684), from his 'Le Cid'	true
quotes_people_quote_person_onscreen_mk_michel_de_montaigne	Michel de Montaigne (AD1533-1592), French philosopher	true
quotes_people_quote_person_onscreen_mk_jean_joinville	Jean de Joinville, French chronicler (AD1224-1317)	true
quotes_people_quote_person_onscreen_mk_shakespeare_henryIV	William Shakespeare, English playwright (AD1564-1616), from his 'King Henry IV'	true
quotes_people_quote_person_onscreen_alcaeus	Alcaeus of Mytilene, Greek poet (c. 620 - 6th century BC)	true
quotes_people_quote_person_onscreen_plautus	Plautus, Roman playwright (254 - 184BC)	true
quotes_people_quote_person_onscreen_mk_shakespeare_kingjohn	William Shakespeare, English playwright (AD1564-1616), from his 'King John'	true
quotes_people_quote_person_onscreen_mk_frederick_barbarossa	Frederick II Barbarossa, King of Sicily and Holy Roman Emperor (AD1194-1250)	true
quotes_people_quote_person_onscreen_mk_magna_carta	Magna Carta Libertatum (AD1215)	true
quotes_people_quote_person_onscreen_juvenal	Juvenal, Roman poet (c. 1st century AD)	true
quotes_people_quote_person_onscreen_tacitus	Tacitus, Roman historian (AD56 - 117)	true
quotes_people_quote_person_onscreen_marcus_aurelius	Marcus Aurelius, Roman Emperor (AD121 - 180)	true
quotes_people_quote_person_onscreen_mk_john_hunyadi	János Hunyadi, Voivode of Transylvania and Hungarian military leader (AD1406-1456)	true
quotes_people_quote_person_onscreen_mk_mehmed_ii_benedetto	Mehmed II, Ottoman Sultan (AD1432-1481), to Benedetto Dei	true
quotes_people_quote_person_onscreen_mk_zengi	Imad ad-Din Zengi, Atabeg of Mosul and Aleppo (AD1085-1146)	true
quotes_people_quote_person_onscreen_mencius	Mencius, Chinese philosopher (372 - 289BC)	true
quotes_people_quote_person_onscreen_mk_saadi	Saadi Shirazi, Persian poet (AD1210-1291)	true
quotes_people_quote_person_onscreen_persius	Persius, Roman poet (AD34 - 62)	true
quotes_people_quote_person_onscreen_mk_yehlu_chutsai	Yeh-lu Chu-tsai, Chinese adviser (AD1190-1244), to Ögedei Khan	true
quotes_people_quote_person_onscreen_euphemus	Euphemus, Archon of Athens (c. 416BC)	true
quotes_people_quote_person_onscreen_maxim_military	Military maxim	true
quotes_people_quote_person_onscreen_virgil	Virgil, Roman poet (70 - 19BC)	true
quotes_people_quote_person_onscreen_mk_nizami	Hasan Nizami, Persian poet and historian	true
quotes_people_quote_person_onscreen_mk_loukas_notaras	Loukas Notaras, Lord High Admiral of the Roman Empire (AD1402-1453)	true
quotes_people_quote_person_onscreen_socrates	Socrates, Greek philosopher (469 - 399BC)	true
quotes_people_quote_person_onscreen_scipio	Scipio Africanus, Roman general (235 - 183BC)	true
