key	text	tooltip
#Loc;1;text/db/political_actions.loc		
political_actions_onscreen_description_borrow_family_money	[PH]	true
political_actions_onscreen_description_embezzle_funds	Спроба поповнити військову скарбницю за рахунок хабарництва.	true
political_actions_onscreen_name_borrow_family_money	[[col:yellow]]Позичити гроші[[/col]]	true
political_actions_onscreen_name_adopt	[[col:yellow]]Усиновити[[/col]]	true
political_actions_onscreen_description_seek_office	Зайняти важливу посаду, що дозволить Вам застосувати свій досвід на практиці на благо Вашого народу та себе.	true
political_actions_onscreen_description_diminish_popularity	Організуйте змову, щоб дискредитувати іншу особу, тим самим зменшивши його вплив.	true
political_actions_onscreen_description_gather_support	Пошук підтримки серед аристократії, тим самим посилюючи свій контроль над політичною ситуацією.	true
political_actions_onscreen_name_assassinate	[[col:yellow]]Вбивство на замовлення[[/col]]	true
political_actions_onscreen_description_adopt	Запропонуйте усиновити когось, хто не є членом сім’ї, щоб їхні майбутні зусилля могли служити інтересам Вашої родини.\\n\\nЦе збільшить їхню відданість, але зменшить вірність Ваших теперішніх дорослих синів.	true
political_actions_onscreen_description_return_home	[PH]	true
political_actions_onscreen_name_diminish_popularity	[[col:yellow]]Зменшити популярність[[/col]]	true
political_actions_onscreen_name_seek_office	[[col:yellow]]Підвищити на посаді[[/col]]	true
political_actions_onscreen_name_return_home	[PH]	true
political_actions_onscreen_description_secure_loyalty	Спробуйте підвищити вірність особи, зменшуючи ймовірність зради.	true
political_actions_onscreen_description_assassinate	Заплануйте вбивство особи, щоб раз і назавжди позбавитися загрози чи тягаря для Вашої родини.	true
political_actions_onscreen_description_divorce	Розірвіть зв’язок між Вами та Вашою половинкою.	true
political_actions_onscreen_description_default	[PH]	true
political_actions_onscreen_description_marriage	Спроба одружитися з особою не з Вашої сім’ї, що відповідає вимогам.	true
political_actions_onscreen_name_gather_support	[[col:yellow]]Зібрати підтримку[[/col]]	true
political_actions_onscreen_name_become_retainer	[[col:yellow]]Підлизатися[[/col]]	true
political_actions_onscreen_name_secure_loyalty	[[col:yellow]]Забезпечити вірність[[/col]]	true
political_actions_onscreen_name_divorce	[[col:yellow]]Розлучитися[[/col]]	true
political_actions_onscreen_description_seek_wife	Проведіть час, залицяючись, в надії, що Ви знайдете гідну пару.	true
political_actions_onscreen_name_default	[PH]	true
political_actions_onscreen_description_become_retainer	Напросіться в науку до більш досвідченого персонажа, щоб Ви могли отримати досвід від його подвигів.	true
political_actions_onscreen_name_marriage	[[col:yellow]]Організувати весілля[[/col]]	true
political_actions_onscreen_name_seek_wife	[[col:yellow]]Шукати дружину[[/col]]	true
political_actions_onscreen_name_embezzle_funds	[[col:yellow]]Розкрасти кошти[[/col]]	true
