key	text	tooltip
#Loc;1;text/db/quotes.loc		
quotes_quote_onscreen_2422	Я зробив цей безлад.	true
quotes_quote_onscreen_2522	Мати командування означає мати всю владу, яка Вам коли-небудь знадобиться. Мати всю міць, яка Вам коли-небудь знадобиться, означає тримати світ у своїй долоні.	true
quotes_quote_onscreen_2622	Літо, жнива, війна.	true
quotes_quote_onscreen_2722	Благородна і мужня музика бадьорить дух, зміцнює людину, що вагається, спонукає до великих і гідних справ.	true
quotes_quote_onscreen_2922	Наближалася війна, і її треба було б вести в Італії, захищаючи стіни Риму і проти світу зі зброєю в руках.	true
quotes_quote_onscreen_3922	Найбільше нещастя в лихій долі - те, що Ви колись були щасливими.	true
quotes_quote_onscreen_2223	Ми не повинні будувати свої надії на вірі в те, що вони припустяться помилок, а на нашому власному ретельному передбаченні.	true
quotes_quote_onscreen_2323	Краще обережний командувач, ніж необачний.	true
quotes_quote_onscreen_2723	Найбільше мені служить той, хто найкраще служить своїй країні.	true
quotes_quote_onscreen_3123	У момент дії пам'ятайте про цінність тиші та порядку.	true
quotes_quote_onscreen_3223	Жорстокість війни сприяє миру.	true
quotes_quote_onscreen_2420	Ніхто не вільний, хто не панує над собою.	true
quotes_quote_onscreen_2520	Влада не має меж.	true
quotes_quote_onscreen_2720	Ой, боги, які мерзотники командують нашими військами? Понесли на війну деревину землі.	true
quotes_quote_onscreen_3420	Відважна людина — це жити зі славою або померти у славі.	true
quotes_quote_onscreen_3620	Для римлян буде те, що вони бажають мені.	true
quotes_quote_onscreen_3820	У всьому має бути гостра приправа правди.	true
quotes_quote_onscreen_2321	Поспішайте обережно.	true
quotes_quote_onscreen_3421	Усе жорстоке й безсоромне стікається звідусіль до Риму.	true
quotes_quote_onscreen_3621	Два варвари виступили перед Аттилою і заспівали пісні, які вони склали, оспівуючи його перемоги та великі подвиги на війні.	true
quotes_quote_onscreen_2426	Боягузи вмирають багато разів перед справжньою смертю.	true
quotes_quote_onscreen_3026	Я віддаю перевагу безмовним знанням перед неосвіченою балакучістю.	true
quotes_quote_onscreen_3326	Маленький камінь стримує велику хвилю.	true
quotes_quote_onscreen_3426	Це частина людської природи - ненавидіти людину, якій Ви завдали болю.	true
quotes_quote_onscreen_3027	Хай буде легкою Вам земля… щоб собакам було легше Вас викопати.	true
quotes_quote_onscreen_2824	Переможений сумує, переможець знищений.	true
quotes_quote_onscreen_3524	Горе мені. Я думаю, що я стаю богом.	true
quotes_quote_onscreen_3624	Кажуть, що його армія налічувала п’ятсот тисяч чоловік. Він був чоловіком, народженим у світі, щоб потрясти народи, лихом усіх країн...	true
quotes_quote_onscreen_3724	Життя людини забарвлене кольором її уяви.	true
quotes_quote_onscreen_2425	Що Ви робите товариші? Я Ваш, а Ви мої.	true
quotes_quote_onscreen_2728	Тим, хто тікає, не приходить ні сила, ні слава.	true
quotes_quote_onscreen_2429	Досвід - учитель всього.	true
quotes_quote_onscreen_2929	Ніколи одна й та ж сама душа не була вправною у протистоянні підкорятися і наказувати…	true
quotes_quote_onscreen_2232	Пам’ятайте, яке велике це місто, що Ви атакуєте, і яку славу Ви принесете своїм предкам і собі добру чи злу залежно від результату.	true
quotes_quote_onscreen_2532	Імператор повинен померти стоячи.	true
quotes_quote_onscreen_2632	Від поганої ворони погане яйце.	true
quotes_quote_onscreen_3132	Війна солодка для тих, хто її ніколи не відчував.	true
quotes_quote_onscreen_3232	Пробачте одну провину, і Ви заохотите до вчинення багатьох.	true
quotes_quote_onscreen_3932	І саме тому, що Ви не розумієте кінця та сутність речей, Ви думаєте, що нечестиві та злочинці мають силу та щастя.	true
quotes_quote_onscreen_2333	Квінтілій Вар, поверни мої легіони!	true
quotes_quote_onscreen_2533	Для імперського міста немає нічого невідповідного, що є доцільним.	true
quotes_quote_onscreen_3033	Чоловік, який втече, знову буде битися.	true
quotes_quote_onscreen_2730	Чоловіки швидше втомлюються від сну, кохання, співів і танців, ніж від війни.	true
quotes_quote_onscreen_2830	Мати боягуза не плаче.	true
quotes_quote_onscreen_3530	Війни, жахливі війни!	true
quotes_quote_onscreen_3630	Римляни, Ви досягли свого бажання - Ви зробили Аттилу нашим ворогом. Ми будемо переслідувати його, куди б він нас не завів.	true
quotes_quote_onscreen_2731	Саме лезо спонукає до насильства.	true
quotes_quote_onscreen_3731	Мистецтво життя більше схоже на боротьбу, ніж на танці. Головне твердо стояти і бути готовим до раптової атаки.	true
quotes_quote_onscreen_3831	Обличчя - дзеркало розуму, а очі безмовно виказують таємниці серця.	true
quotes_quote_onscreen_3931	Людина височіє над рештою творіння, поки вона усвідомлює свою власну природу, а коли вона забуває про це, вона опускається нижче за звірів.	true
quotes_quote_onscreen_3436	Боги на боці сильнішого.	true
quotes_quote_onscreen_2737	Славна смерть того, хто за свою країну впаде.	true
quotes_quote_onscreen_2837	Зброя зберігає мир.	true
quotes_quote_onscreen_3537	Помилка сприяє приховуванню.	true
quotes_quote_onscreen_3837	Справа в тому, що моя рідна земля — здобич варварства, що в ній людям єдиний Бог — живіт, що вони живуть тільки теперішнім, і чим багатша людина, тим вона святіша.	true
quotes_quote_onscreen_2234	Вдершись до іншої країни, люди завжди повинні бути рішучі, але і страх повинен сприяти їхній обережності - таким чином вони будуть водночас найхоробріші у нападі і стійкі в захисті.	true
quotes_quote_onscreen_2334	І у вічність, брате, вітай і прощай.	true
quotes_quote_onscreen_2734	Так закінчується кривава справа дня.	true
quotes_quote_onscreen_2934	Поки стоїть Колізей, стоятиме Рим. Коли впаде Колізей, упаде Рим. А коли впаде Рим – то впаде і Світ.	true
quotes_quote_onscreen_3134	Володарі держави єдині, хто повинен мати привілей брехати.	true
quotes_quote_onscreen_3334	З усього, що дихає і повзає по землі, наша мати-земля не породжує нічого слабшого за людину.	true
quotes_quote_onscreen_2435	Як правило, людей більше хвилює те, що вони не бачать, ніж те, що вони бачать.	true
quotes_quote_onscreen_2635	Клянуся, як тільки дозволить вік... Я використаю вогонь і сталь, щоб зупинити долю Риму.	true
quotes_quote_onscreen_3335	Слава Цезарю! Вітають Вас ті, хто готові померти!	true
quotes_quote_onscreen_3535	Нехай всі будуть присутні і чекають пальми першості, нагороди перемоги.	true
quotes_quote_onscreen_3138	Треба подбати про те, щоб наші ауксиларії, бувши сильнішими за наших громадян, не могли занадто розростатися і не перетворюватися на диких звірів.	true
quotes_quote_onscreen_3938	Людина влаштована так, що підноситься величі лише тоді, коли пізнає себе.	true
quotes_quote_onscreen_2339	Хто сильний, будь милосердним, щоб ближні поважали, а не боялися.	true
quotes_quote_onscreen_2539	Сміливості можна навчити так само, як дитину вчать говорити.	true
quotes_quote_onscreen_3639	Я не вважаю жодну війну небезпечною, крім тієї, чия причина слабка; не боїться зла той, кому посміхнулася Велич.	true
