key	text	tooltip
#Loc;1;text/db/agent_localisations.loc		
agent_localisations_text_agent_attribute_tooltip_subterfuge	Хитрість||Здатність агента до підступу та шпигунства.	true
agent_localisations_text_general_profession_admiral	Адмірал	true
agent_localisations_text_general_profession_general	Полководець	true
agent_localisations_text_general_attribute_tooltip_subterfuge	Хитрість||Розуміння полководця стратегії та тактики.	true
agent_localisations_text_agent_attribute_tooltip_zeal	Завзяття||Рішучість агента та здатність до ворожнечі.	true
agent_localisations_text_agent_localisation_action_deployed_cannot_undeploy	Цього агента вже призначено тут.\\n\\n[[col:red]]Не можливо повторно розмістити його за поточний хід.[[/col]]	true
agent_localisations_text_general_profession_emperor	Імператор	true
agent_localisations_text_agent_localisation_action_execution_status_agent_cap_reached	[[col:red]]Ви вже маєте максимальну кількість агентів цього типу.\\n[[/col]]	true
agent_localisations_text_agent_action_panel_champion_method_hinder_settlement	Нашкодити поселенню	true
agent_localisations_text_agent_action_panel_dignitary_method_hinder_character	Організувати вбивство	true
agent_localisations_text_agent_action_panel_spy_method_hinder_agent	Маніпуляція агентом	true
agent_localisations_text_agent_action_panel_chance_manipulation_steal	Імовірність маніпуляції:	true
agent_localisations_text_agent_attribute_tooltip_authority	Авторитет||Сила характеру агента та здатність маніпулювати.	true
agent_localisations_text_agent_outcome_opportune_failure_money_refund	Вони змогли компенсувати вартість цієї спроби.	true
agent_localisations_text_agent_action_panel_spy_method_hinder_army	Завада війську	true
agent_localisations_text_agent_disband_dialog_heading	Звільнити агента	true
agent_localisations_text_agent_localisation_action_undeployed_at_sea_cannot_deploy	[[col:red]]Агенти не можуть розташовуватися в морі.[[/col]]	true
agent_localisations_text_agent_action_panel_outcomes_hinder_character_success	Персонажа поранено:	true
agent_localisations_text_agent_localisation_action_execution_status_cannot_sabotage_fully_damaged_building	[[col:red]]Цю будівлю неможливо зруйнувати, оскільки вона вже в руїнах.\\n[[/col]]	true
agent_localisations_text_agent_action_result_strings_target	Ціль:	true
agent_localisations_text_agent_recruitment_no_agents_header	Зараз немає доступних агентів.	true
agent_localisations_text_general_attribute_tooltip_authority	Авторитет||Сила характеру полководця та здатність вести війська в бій.	true
agent_localisations_text_general_profession_candidate	Кандидат	true
agent_localisations_text_agent_action_panel_outcomes_hinder_agent_success_critical	Цільовий агент піддасться:	true
agent_localisations_text_agent_recruitment_building_required	Ви не можете завербувати цього агента, доки не побудуєте таку будівлю:	true
agent_localisations_text_agent_localisation_action_execution_status_targets_walls_of_garrison_without_walls	[[col:red]]Це поселення не має стін для диверсій.\\n[[/col]]	true
agent_localisations_text_agent_action_panel_champion_method_hinder_character	Організувати вбивство	true
agent_localisations_text_general_profession_retainer	Наймит	true
agent_localisations_text_agent_action_panel_chance_assassination_kill	Імовірність вбивства:	true
agent_localisations_text_agent_attribute_panel_approach_subterfuge_tooltip	Підхід, заснований на хитрості.||Успіх цього підходу залежить від хитрості агента порівняно з його ціллю.	true
agent_localisations_text_agent_localisation_action_undeployed_cannot_deploy	[[col:red]]Цей агент не може бути призначений поточного ходу.[[/col]]	true
agent_localisations_text_agent_attribute_panel_approach_zeal_tooltip	Підхід, заснований на завзятості.||Успіх цього підходу залежить від завзяття агента порівняно з його ціллю.	true
agent_localisations_text_general_profession_governor	Губернатор	true
agent_localisations_text_agent_action_result_strings_action	Дія:	true
