key	text	tooltip
#Loc;1;text/db/mkscript_missions.loc		
missions_localised_description_mk_mission_crusades_defend_aegyptus_alexandria	A crusade has been called with the intention of conquering the city of Alexandria. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_aegyptus_oxyrhynchus	A crusade has been called with the intention of conquering the city of Cairo. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_africa_carthago	A crusade has been called with the intention of conquering the city of Tunis. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_aquitania_elusa	A crusade has been called with the intention of conquering the city of Toulouse. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_baetica_corduba	A crusade has been called with the intention of conquering the city of Cordoba. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_britannia_superior_londinium	A crusade has been called with the intention of conquering the city of London. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_carthaginensis_toletum	A crusade has been called with the intention of conquering the city of Toledo. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_germania_uburzis	A crusade has been called with the intention of conquering the city of Frankfurt. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_italia_roma	A crusade has been called with the intention of conquering the city of Rome. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_lugdunensis_turonum	A crusade has been called with the intention of conquering the city of Paris. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_macedonia_thessalonica	A crusade has been called with the intention of conquering the city of Thessalonica. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_palaestinea_aelia_capitolina	A crusade has been called with the intention of conquering the city of Jerusalem. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_syria_antiochia	A crusade has been called with the intention of conquering the city of Antioch. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_tarraconensis_tarraco	A crusade has been called with the intention of conquering the city of Barcelona. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
missions_localised_description_mk_mission_crusades_defend_thracia_constantinopolis	A crusade has been called with the intention of conquering the city of Constantinople. As the holder of this city you must ensure this does not happen. The crusaders will be stopped at all costs.	true
