key	text	tooltip
#Loc;1;text/db/effect_bundles.loc		
effect_bundles_localised_title_att_bundle_agent_action_spy_hinder_army_gather_intelligence_critical_success_target	Збір інформації	true
effect_bundles_localised_description_att_payload_growth_religious_orthodox_negative_faction	Ця релігія втрачає своїх послідовників через останні події.	true
effect_bundles_localised_title_bel_bundle_mission_payload_control_positive	Контроль посилено	true
effect_bundles_localised_title_att_bundle_religious_judaism	Юдаїзм	true
effect_bundles_localised_title_att_bundle_season_spring_med_average	Весна	true
effect_bundles_localised_description_rom_payload_death_metal	Зосередження на обробці заліза покращує видобуток із залізних копалень, що, у свою чергу, зменшує витрати на вербування.	true
effect_bundles_localised_title_att_bundle_season_autumn_north_average	Осінь	true
effect_bundles_localised_description_att_plague_smallpox_army	[[col:red]]Моровиця[[/col]]\\n\\nТе, що починається як висип, призводить до гнійничкових виділень, а потім внутрішньої кровотечі. Через тиждень майже напевно настане смерть.	true
effect_bundles_localised_title_att_payload_growth_religious_catholic_negative_faction	Занепад латинського християнська	true
effect_bundles_localised_title_att_bundle_season_autumn_south_average	Осінь	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_army_sabotage_army_success_actor	Цей борець зменшив ефективність ворожого війська шляхом диверсій.	true
effect_bundles_localised_title_cha_bundle_inspired_scholars	Натхненні вчені	true
effect_bundles_localised_description_att_bundle_season_winter_north_average	Нарешті пришкандибала зима, вкриваючи все навкруги своїм білим волоссям.	true
effect_bundles_localised_description_att_bundle_season_winter_south_average	Нарешті пришкандибала зима, вкриваючи все навкруги своїм білим волоссям.	true
effect_bundles_localised_description_att_faction_trait_suebi	Перевага в силі і чисельності відкриває шлях в майбутнє.	true
effect_bundles_localised_title_att_bundle_agent_action_champion_hinder_character_trap_success_actor	Пастка	true
effect_bundles_localised_title_att_wonder_pharos_alexandria	Фарос і піраміди	true
effect_bundles_localised_title_att_pro_food_bundle_visigoths_positive	Продовольчі резерви	true
effect_bundles_localised_title_att_bundle_edict_tengri_wisdom	Мудрість Тенгрі	true
effect_bundles_localised_description_att_wonder_mount_olympus	[[col:green]]Диво[[/col]]\\n\\nБудинок богів і наймогутніша з гір.	true
effect_bundles_localised_title_cha_imperium_level_1	Імперіум: незначний	true
effect_bundles_localised_title_cha_imperium_level_2	Імперіум: помітний	true
effect_bundles_localised_title_cha_imperium_level_3	Імперіум: вражаючий	true
effect_bundles_localised_title_cha_imperium_level_4	Імперіум: надихаючий	true
effect_bundles_localised_title_cha_imperium_level_5	Імперіум: загрозливий	true
effect_bundles_localised_title_cha_imperium_level_6	Імперіум: жахливий	true
effect_bundles_localised_title_cha_imperium_level_7	Імперіум: верховний	true
effect_bundles_localised_description_att_bundle_season_summer_south_average	Літо невблаганне і безжальне, без затишку в гнітючій вологості.	true
effect_bundles_localised_description_att_wonder_mausoleum_mausolus	[[col:green]]Диво[[/col]]\\n\\n"Меморіал його власної слави та мистецтва скульптора."	true
effect_bundles_localised_description_att_bundle_agent_action_spy_assist_army_scout_ahead_cannot_fail_target	Шлях перед цим військом розвідує шпигун.	true
effect_bundles_localised_title_att_plague_tuberculosis_army	Cухоти!	true
effect_bundles_localised_description_cha_agent_action_sabotage_walls_success_actor	Цей борець здійснив спробу підірвати стіни ворожого поселення.	true
effect_bundles_localised_title_att_payload_good_omen_faction	Добра прикмета	true
effect_bundles_localised_description_att_bundle_season_summer_north_average	Літо невблаганне і безжальне, без затишку в гнітючій вологості.	true
effect_bundles_localised_title_att_bundle_agent_action_dignitary_hinder_settlement_encourage_dissent_success_target	Підбурення	true
effect_bundles_localised_title_att_payload_slave_economic_positive_province	Старанні іммігранти	true
effect_bundles_localised_title_att_bundle_agent_action_spy_hinder_character_extort_critical_success_target	Примус	true
effect_bundles_localised_description_att_faction_trait_roman	Життя в імперії здається привабливим, особливо для чужих очей.	true
effect_bundles_localised_description_att_faction_trait_nomad	Ти нічого не знаєш. Пекло - це просто слово. Наш мир набагато гірше...	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_character_trap_critical_success_actor	Цей борець заманив у пастку ворожого агента, тим самим зупинивши його.	true
effect_bundles_localised_description_att_payload_public_works_faction	Зосередження на громадських роботах та інфраструктурі покращує ефективність будівництва у Ваших володіннях.	true
effect_bundles_localised_title_att_public_order_roman_1_outraged	Обурене населення	true
effect_bundles_localised_title_rom_tech_module_philosophy_1	Філософія І	true
effect_bundles_localised_title_rom_tech_module_philosophy_3	Філософія III	true
effect_bundles_localised_title_rom_tech_module_philosophy_2	Філософія II	true
effect_bundles_localised_title_att_payload_resolution_dummy	Роздільна здатність	true
effect_bundles_localised_description_att_bundle_stance_army_fortification_barbarian	Облаштування укріпленого табору.	true
effect_bundles_localised_title_att_bundle_agent_action_dignitary_hinder_settlement_encourage_dissent_critical_success_actor	Підбурення	true
effect_bundles_localised_description_att_bundle_stance_navy_patrol	Патрулювання моря.	true
effect_bundles_localised_description_bel_bundle_stance_navy_patrol	Патрулювання моря.	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_character_trap_success_target	Цей агент трішки потрапив у пастку ворожого борця та сповільнився.	true
effect_bundles_localised_title_att_payload_growth_religious_celtic_negative_faction	Занепад кельтського язичництва	true
effect_bundles_localised_title_cha_bundle_caliphate_formed	Відродження халіфату	true
effect_bundles_localised_description_bel_bundle_mission_payload_integrity_positive	Останні рішення Велізарія заслужили повагу його людей.	true
effect_bundles_localised_title_att_plague_dysentery_region	Дизентерія!	true
effect_bundles_localised_description_att_bundle_season_spring_east_average	Весна приносить жертви Фортуні, так як золотий Сатурн зараз заправляє на землі.	true
effect_bundles_localised_title_att_bundle_agent_action_dignitary_hinder_settlement_undermine_administration_critical_success_actor	Підірвати адміністрацію	true
effect_bundles_localised_description_att_bundle_agent_action_dignitary_hinder_army_undermine_command_success_actor	Цей проповідник підірвав довіру ворожого війська до свого полководця.	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_army_harass_army_critical_success_target	Це військо сильно виснажив ворожий борець.	true
effect_bundles_localised_title_att_bundle_edict_celtic_aegis_toutatis	Егіда Тевтата	true
effect_bundles_localised_title_att_payload_public_order_religious_manichaean_negative_faction	Ігнорування маніхейства 	true
effect_bundles_localised_description_att_bundle_agent_action_champion_assist_army_military_training_cannot_fail_actor	Цей борець навчає солдат мистецтву війни.	true
effect_bundles_localised_description_rom_subject_bad_omen_troubled_populace	Новини від Оракула змушують людей боятися за майбутнє.	true
effect_bundles_localised_title_att_bundle_agent_action_dignitary_hinder_settlement_undermine_administration_success_target	Підірвати адміністрацію	true
effect_bundles_localised_title_att_bundle_edict_arian_docrines_arius	Вчення Арія	true
effect_bundles_localised_description_att_payload_osmosis_religious_tengri_negative_faction	Вплив цієї релігії на сусідні землі зменшився.	true
effect_bundles_localised_description_att_faction_trait_nomad_huns_separatist	Летіть вершники і несіть смерть людям і всьому живому!	true
effect_bundles_localised_title_att_bundle_stance_army_raiding_celts	Позиція: розбійництво	true
effect_bundles_localised_description_att_bundle_rel_slavic	Державна релігія	true
effect_bundles_localised_title_att_bundle_eos_horde_temp_food	[UNSEEN]	true
effect_bundles_localised_title_att_payload_growth_religious_germanic_negative_faction	Занепад германського язичництва	true
effect_bundles_localised_description_cha_bundle_strong_leader	Ви ризикнули викликати гнів Папи, щоб захистити свій народ і своє королівство. Хоча деякі не згодні з Вашим рішенням, багато хто вважає Вас сильним і благородним лідером.	true
effect_bundles_localised_title_att_bundle_religious_papacy	Папство	true
effect_bundles_localised_description_att_payload_osmosis_religious_orthodox_negative_faction	Вплив цієї релігії на сусідні землі зменшився.	true
effect_bundles_localised_description_att_payload_agent_champion_cost_faction	Непохитні як стіна, Ваші борці ефективно виконують свої місії.	true
effect_bundles_localised_title_rom_payload_grateful_populace	Вдячне населення	true
effect_bundles_localised_title_att_bundle_edict_catholic_ecumenical_matters	Екуменічні питання	true
effect_bundles_localised_description_cha_bundle_hre_formed	Вас назвали «Imperator Romanorum» — імператор римлян. Це велике досягнення, безсумнівно, зняло всі сумніви – Ваше правління запам’ятається як золотий вік благочестя та процвітання, як «епоха Карла Великого».	true
effect_bundles_localised_title_att_bundle_season_spring_south_average	Весна	true
effect_bundles_localised_title_att_bundle_season_spring_north_average	Весна	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_character_assault_success_target	Цей персонаж був поранений під час нападу ворожого борця.	true
effect_bundles_localised_title_att_bundle_political_civil_war_effects	Громадянська війна	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_province_guerrilla_cannot_fail_target	Місцеве вербування підривається партизанською тактикою ворожого борця.	true
effect_bundles_localised_description_att_payload_bad_omen_province	Злі передвістя майбутнього роблять людей цієї провінції некерованими.	true
effect_bundles_localised_title_att_bundle_peace_agreements	Мирні угоди	true
effect_bundles_localised_description_att_faction_trait_sands	Де виживають лише найвитриваліші чоловіки, для процвітання та піднесення потрібна особлива порода людей.	true
effect_bundles_localised_title_att_bundle_edict_slavs_harvest_winds	Священні вітри	true
effect_bundles_localised_title_rom_tech_module_management_1	Керування I	true
effect_bundles_localised_title_rom_tech_module_management_3	Керування III	true
effect_bundles_localised_title_rom_tech_module_management_2	Керування II	true
effect_bundles_localised_description_att_payload_mercenary_compensation_force	Компенсація за військову підтримку - збільшує витрати на утримання найманців.	true
effect_bundles_localised_description_att_bundle_eos_tanukhids_growth_bonus_4	Далеко розійшлася чутка про твою останню перемогу — твій стяг манить все більше людей!	true
effect_bundles_localised_title_att_food_bundle_horde_faction_negative	Голод	true
effect_bundles_localised_description_att_bundle_agent_action_champion_hinder_character_assault_critical_success_actor	Цей агент жорстоко напав на свого ворога, залишивши його мертвим.	true
effect_bundles_localised_description_att_bundle_eos_tanukhids_growth_bonus_1	Чутка про Вашу останню перемогу розійшлася далеко — до Вашого прапора стікаються люди!	true
effect_bundles_localised_description_att_bundle_eos_tanukhids_growth_bonus_2	Чутка про Вашу останню перемогу розійшлася далеко — до Вашого прапора стікаються люди!	true
