key	text	tooltip
#Loc;1;text/db/building_chains.loc		
building_chains_encyclopedia_description_att_bch_nomad_noble	Споруди влади переселенців є важливими для єдності орди, підвищення цілісності сил і забезпечення прибутку від культури.	true
building_chains_encyclopedia_description_att_bch_eastern_sassanid_port_minor	Placeholder description	true
building_chains_chain_tooltip_att_bch_religion_other	Релігія	true
building_chains_chain_tooltip_att_bch_roman_west_port_minor	Порт	true
building_chains_encyclopedia_name_att_bch_all_industry_major	Промисловість міста	true
building_chains_encyclopedia_name_att_bch_all_industry_minor	Промисловість містечка	true
building_chains_chain_tooltip_att_bch_slav_farming	Ферма	true
building_chains_chain_tooltip_att_bch_religion_zoroastrian_major_fire_faction	Релігія	true
building_chains_chain_tooltip_bel_bch_all_agriculture	Сільське господарство	true
building_chains_encyclopedia_name_bel_bch_all_industry_major	Промисловість міста	true
building_chains_encyclopedia_name_bel_bch_all_industry_minor	Промисловість містечка	true
building_chains_encyclopedia_name_bel_bch_roman_city_major	Місто	true
building_chains_encyclopedia_name_bel_bch_roman_city_minor	Містечко	true
building_chains_chain_tooltip_bel_bch_religion_other	Релігія	true
building_chains_encyclopedia_name_att_bch_barbmigs_community	Громада переселенців	true
building_chains_chain_tooltip_att_slav_bch_zadruga	Задруга 	true
building_chains_encyclopedia_name_att_bch_eastern_sassanid_military_infantry	Вербування піхоти міста	true
building_chains_encyclopedia_name_att_bch_eastmigs_community	Громада переселенців	true
building_chains_encyclopedia_description_att_bch_eastmigs_industry	Ланцюжок ремісників переселенців забезпечує прибуток від промислових будівель на додаток до інших фінансових переваг.	true
building_chains_chain_tooltip_att_bch_roman_east_port_minor	Порт	true
building_chains_encyclopedia_name_cha_bch_monastery	Монастир	true
building_chains_encyclopedia_description_cha_bch_mill	Млини покращують сільськогосподарський і промисловий прибуток у провінції.	true
building_chains_encyclopedia_description_cha_bch_gold	Ланцюжки ресурсів дають доступ до безцінних запасів товарів для торгівлі, якщо вони доступні в регіоні, і всі вони можуть бути використані на користь Вашої держави, при цьому деякі ресурси є передумовами для будівництва інших важливих будівель.	true
building_chains_chain_tooltip_bel_bch_camp_sanitation	Санітарія	true
building_chains_encyclopedia_description_cha_bch_salt	Ланцюжки ресурсів дають доступ до безцінних запасів товарів для торгівлі, якщо вони доступні в регіоні, і всі вони можуть бути використані на користь Вашої держави, при цьому деякі ресурси є передумовами для будівництва інших важливих будівель.	true
building_chains_encyclopedia_description_cha_bch_barracks_mus	Казарми можна побудувати в будь-якому місті чи містечку, забезпечуючи доступ до більшості типів піхоти, стрільців і кавалерії.	true
building_chains_encyclopedia_description_bel_bch_religion_catholic_legendary	Релігійні споруди підсилюють вплив релігії Вашої держави як усередині, так і за кордоном, а також можуть покращити санітарію у Ваших поселеннях. Тип ланцюжка релігійних будівель, доступних у регіоні, залежить від релігії держави, яка його контролює.	true
building_chains_encyclopedia_name_bel_bch_religion_arian_legendary	Престол Пентархії	true
building_chains_encyclopedia_name_att_bch_eastmigs_industry	Ремісники переселенців	true
building_chains_encyclopedia_name_cha_bch_race_track	Іподром	true
building_chains_encyclopedia_description_att_bch_roman_east_military	Військові будинки для вербування можна побудувати в будь-якому місті чи містечку, забезпечуючи доступ до більшості типів піхоти, стрільців і кавалерії.	true
building_chains_encyclopedia_description_cha_bch_monastery	Релігійні споруди підсилюють вплив релігії Вашої держави як усередині, так і за кордоном, а також можуть покращити санітарію у Ваших поселеннях. Тип ланцюжка релігійних будівель, доступних у регіоні, залежить від релігії держави, яка його контролює.	true
building_chains_encyclopedia_description_att_bch_roman_west_military	Військові будинки для вербування можна побудувати в будь-якому місті чи містечку, забезпечуючи доступ до більшості типів піхоти, стрільців і кавалерії.	true
building_chains_encyclopedia_description_cha_bch_mine	Копальні забезпечують промисловий прибуток і можуть будуватися лише в незначних населених пунктах.	true
building_chains_encyclopedia_description_cha_bch_wine	Ланцюжки ресурсів дають доступ до безцінних запасів товарів для торгівлі, якщо вони доступні в регіоні, і всі вони можуть бути використані на користь Вашої держави, при цьому деякі ресурси є передумовами для будівництва інших важливих будівель.	true
building_chains_chain_tooltip_cha_bch_council	Заля Ради	true
building_chains_encyclopedia_description_cha_bch_horse_shows	Кінні виставки підвищують громадський порядок, дають бонуси кавалерії та зміцнюють Імперіум Вашої держави.	true
building_chains_chain_tooltip_att_bch_celtic_garrison	Напад	true
building_chains_encyclopedia_description_cha_bch_iron	Ланцюжки ресурсів дають доступ до безцінних запасів товарів для торгівлі, якщо вони доступні в регіоні, і всі вони можуть бути використані на користь Вашої держави, при цьому деякі ресурси є передумовами для будівництва інших важливих будівель.	true
