key	text	tooltip
#Loc;1;text/db/battlefield_siege_vehicles.loc		
battlefield_siege_vehicles_onscreen_name_siege_ladder_8m	Драбина	true
battlefield_siege_vehicles_onscreen_name_siege_ladder_15m	Драбина	true
battlefield_siege_vehicles_onscreen_name_battering_ram_heavy	Важкий таран	true
battlefield_siege_vehicles_onscreen_name_siege_tower_8m_light	Легка облогова вежа	true
battlefield_siege_vehicles_description_battering_ram_medium	Середній таран зі шкіряною бронею використовується для руйнування воріт і морального духу тих, хто всередині.	true
battlefield_siege_vehicles_description_siege_tower_8m_medium	Покращує захист загонів за рахунок шкіряної броні під час нападу на стіни поселення.	true
battlefield_siege_vehicles_onscreen_name_siege_tower_8m_heavy	Важка облогова вежа	true
battlefield_siege_vehicles_onscreen_name_battering_ram_light	Легкий таран	true
battlefield_siege_vehicles_description_siege_tower_15m_light	Дозволяє швидко піднятися на стіни поселення та дає деякий захист для загонів у ньому.	true
battlefield_siege_vehicles_description_siege_ladder_15m	Відкрита драбина, яка дозволяє загонам входити в поселення без захисту.	true
battlefield_siege_vehicles_description_battering_ram_heavy	Важкий таран із залізними пластинами та шкіряною бронею використовувався для руйнування воріт і морального духу тих, хто всередині.	true
battlefield_siege_vehicles_description_siege_ladder_8m	Відкрита драбина, яка дозволяє загонам входити в поселення без захисту.	true
battlefield_siege_vehicles_onscreen_name_siege_tower_15m_medium	Середня облогова вежа	true
battlefield_siege_vehicles_description_siege_tower_8m_light	Дозволяє швидко піднятися на стіни поселення та дає деякий захист для загонів у ньому.	true
battlefield_siege_vehicles_onscreen_name_battering_ram_medium	Середній таран	true
battlefield_siege_vehicles_description_siege_tower_8m_heavy	Забезпечує чудовий захист із залізних пластин для загонів під час нападу на стіни поселення.	true
battlefield_siege_vehicles_description_battering_ram_light	Легкий таран із дерев’яним каркасом використовується для руйнування воріт і морального духу тих, хто всередині.	true
battlefield_siege_vehicles_description_siege_tower_15m_heavy	Залізні пластини забезпечують чудовий захист загонів під час нападу на стіни поселення.	true
battlefield_siege_vehicles_description_siege_tower_15m_medium	Покращує захист загонів за рахунок шкіряної броні під час нападу на стіни поселення.	true
battlefield_siege_vehicles_onscreen_name_siege_tower_8m_medium	Середня облогова вежа	true
battlefield_siege_vehicles_onscreen_name_siege_tower_15m_heavy	Важка облогова вежа	true
battlefield_siege_vehicles_onscreen_name_siege_tower_15m_light	Легка облогова вежа	true
