key	text	tooltip
#Loc;1;text/db/campaign_map_attritions.loc		
campaign_map_attritions_unit_card_tooltip_att_att_mountain	Гори беруть своє. Не затримуйтеся тут: зійдіть з гори, щоб запобігти втратам.	true
campaign_map_attritions_unit_immunity_text_att_att_desertion	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_besieged	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_besieging	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_blockaded	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_besieged	Населення цього поселення в облозі вимирає від недоїдання. Зніміть облогу будь-якими можливими засобами, чи то словами, чи то мечами!	true
campaign_map_attritions_campaign_map_tooltip_att_att_sabotage	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_disease	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_mountain	Цей загін стійкий до впливу гірської місцевості.	true
campaign_map_attritions_campaign_map_tooltip_att_att_high_sea	Фльота зазнає втрат через виснаження під час перебування у відкритому морі.	true
campaign_map_attritions_campaign_map_tooltip_att_att_mountain	Під час проходження гірських перевалів війська зазнають втрат через виснаження.	true
campaign_map_attritions_unit_immunity_text_att_att_high_sea	Цей загін стійкий до впливу до відкритого моря.	true
campaign_map_attritions_campaign_map_tooltip_att_att_swamp	Війська зазнають втрат через виснаження, перебуваючи в холодних регіонах.	true
campaign_map_attritions_unit_immunity_text_att_att_blockading	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_sabotage	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_sabotage	Ворожий агент зумів влаштувати диверсію в нашому війську, багато людей втратили життя. Знайдіть і вбийте відповідального.	true
campaign_map_attritions_campaign_map_tooltip_att_att_besieged	Це поселення зазнає великих втрат, оскільки воно перебуває в облозі.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_2	Війська зазнають втрат через виснаження, перебуваючи в холодних регіонах.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_3	Війська зазнають втрат через виснаження, перебуваючи в холодних регіонах.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_1	Війська зазнають втрат через виснаження, перебуваючи в холодних регіонах.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_4	Війська зазнають втрат через виснаження, перебуваючи в холодних регіонах.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_5	Війська зазнають втрат через виснаження, перебуваючи в холодних регіонах.	true
campaign_map_attritions_unit_immunity_text_att_att_regionless	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_high_sea	Стихії демонструють свою справжню силу у відкритому морі, нескінченно б’ючи по фльоті та несучи смерть нашим морякам. Тримайтеся берегової лінії, щоб забезпечити їх безпеку.	true
campaign_map_attritions_campaign_map_tooltip_att_att_desert	Війська зазнають втрат через виснаження в пустельних регіонах.	true
campaign_map_attritions_unit_card_tooltip_att_att_blockading	Утримання фльоти в морі шкодить нам, а також ворогу. Припиніть блокаду, щоб зупинити ці втрати.	true
campaign_map_attritions_unit_card_tooltip_att_att_regionless	Ваші війська дезертують, тому що Ви більше не можете їх підтримувати. Вирішіть цю кризу, перш ніж Ваші сили зазнають втрат.	true
campaign_map_attritions_unit_card_tooltip_att_att_besieging	Облога поселення також завдає шкоди тим, хто її встановлює, оскільки хвороба та невеликі сутички забирають слабких. Припиніть цю облогу, щоб негайно зупинити ці втрати.	true
campaign_map_attritions_unit_card_tooltip_att_att_blockaded	Без провіянту, що надходять з морських торгівельних шляхів, наше поселення голодує. Зупиніть блокаду, щоб поповнити життєво важливі запаси.	true
campaign_map_attritions_unit_card_tooltip_att_att_desertion	Ваші війська дезертують, тому що Ви більше не можете їх підтримувати. Вирішіть цю кризу, поки вона не підірве Ваші сили.	true
campaign_map_attritions_campaign_map_tooltip_att_att_disease	placeholder	true
campaign_map_attritions_campaign_map_tooltip_att_att_blockading	Ця фльота зазнає великих втрат, оскільки її блокують.	true
campaign_map_attritions_unit_card_tooltip_att_att_desert	Усі загинуть у пустелі! Встановіть табір, знайдіть поселення або покиньте це безплідне місце, щоб запобігти втратам.	true
campaign_map_attritions_campaign_map_tooltip_att_att_regionless	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_snow_4	Цей загін стійкий до впливу снігу.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_5	Цей загін стійкий до впливу снігу.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_2	Цей загін стійкий до впливу снігу.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_3	Цей загін стійкий до впливу снігу.	true
campaign_map_attritions_unit_immunity_text_att_att_snow_1	Цей загін стійкий до впливу снігу.	true
campaign_map_attritions_unit_card_tooltip_att_att_swamp	Ця трясовина забирає необережних. Мудрий полководець знайшов би дорогу або залишив це місце.	true
campaign_map_attritions_unit_immunity_text_att_att_swamp	Цей загін стійкий до впливу болотяної місцевості.	true
campaign_map_attritions_unit_immunity_text_att_att_desert	Цей загін стійкий до виснаження в пустелі.	true
campaign_map_attritions_unit_card_tooltip_att_att_disease	Хвороба приносить смерть і страждання нашим військам. Ми повинні задобрити богів жертвою за образу, яку ми спричинили, а потім дочекатися, поки хвороба мине.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_3	Холод вбиває. Встановіть табір, знайдіть поселення або вирушайте в теплі краї, щоб запобігти втратам.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_2	Холод вбиває. Встановіть табір, знайдіть поселення або вирушайте в теплі краї, щоб запобігти втратам.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_1	Холод вбиває. Встановіть табір, знайдіть поселення або вирушайте в теплі краї, щоб запобігти втратам.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_5	Холод вбиває. Встановіть табір, знайдіть поселення або вирушайте в теплі краї, щоб запобігти втратам.	true
campaign_map_attritions_unit_card_tooltip_att_att_snow_4	Холод вбиває. Встановіть табір, знайдіть поселення або вирушайте в теплі краї, щоб запобігти втратам.	true
campaign_map_attritions_campaign_map_tooltip_att_att_desertion	placeholder	true
