key	text	tooltip
#Loc;1;text/db/cdir_events_dilemma_choice_details.loc		
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_celtic_religious_sanctions_1SECOND	Накласти санкції	true
cdir_events_dilemma_choice_details_localised_choice_title_cha_dilemma_pope_attacked_1SECOND	Бог посилає випробування, щоб зміцнити нас. Я не можу нести цей тягар за Вас.	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_1FIRST	Здати Равенну	true
cdir_events_dilemma_choice_details_localised_choice_title_political_event_assassinationFIRST	Подвоїти варту і нагадати всім, як ми вирішуємо справу зі зрадниками!	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_secure_loyalty_briberyTHIRD	Забути це	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_assassinate_suspiciousFIRST	Замітати сліди	true
cdir_events_dilemma_choice_details_localised_choice_title_att_political_action_dilemma_secure_loyalty_mutilationTHIRD	Він нас не стосується. У нас є важливіші справи.	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_nordic_the_flyting_1THIRD	Призначте полководця своїм борцем. Він доведе Вашу перевагу.	true
cdir_events_dilemma_choice_details_localised_choice_title_ybor_level_A_alamanniSECOND	Священство каже, що вона дарує мудрість і захист Годана.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_civil_challengerFOURTH	Дати йому посаду	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_civil_hostageSECOND	Тримати його в заручниках	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_secure_loyalty_briberyFIRST	Великий хабар	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_assassinate_suspiciousTHIRD	Забути це	true
cdir_events_dilemma_choice_details_localised_choice_title_att_political_action_dilemma_secure_loyalty_mutilationFIRST	Після цього він більше нікому не згодиться!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_nordic_the_flyting_1FIRST	У нас немає часу на такі легковажності.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_military_roman_master_hostile_governorSECOND	Оббрехати його	true
cdir_events_dilemma_choice_details_localised_choice_title_ybor_level_A_burgundiFIRST	Взятий із мертвої хватки ворожого короля.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_barb_nomad_stolen_swordFIRST	Зробити новий	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_seek_office_obstructionSECOND	Наказ	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_3FIRST	Здати Равенну	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_2THIRD	Підлизатися до Карла Великого	true
cdir_events_dilemma_choice_details_localised_choice_title_att_dilemma_religious_christian_the_council_of_toledo_1FIRST	Цих людей досить довго переслідували. Нам слід повернути їх у лоно.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_barb_nomad_tribal_loyaltyTHIRD	Бути посередником	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_civil_secret_meetingsSECOND	Зустрітися з ними	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_none_the_silk_trader_1SECOND	Цей новий торговий шлях може мати велике значення для нашого народу. Допоможемо розширити його діяльність.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_barb_nomad_stolen_swordTHIRD	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_title_ollam_ri_A1iSECOND	У Рі немає часу на казки, але він має час на золото!	true
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_orthodox_religious_sanctions_1SECOND	Накласти санкції	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_lombard_pope_demands_2FIRST	Здати Равенну	true
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_germanic_religious_sanctions_1SECOND	Накласти санкції	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_civil_idiot_magistrateSECOND	Ви не можете керувати своїм народом шляхом азартних ігор!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_none_hidden_treasure_1SECOND	Люди заслуговують на щедрість цієї випадкової знахідки. Розподіліть його між ними порівну.	true
cdir_events_dilemma_choice_details_localised_choice_title_cha_dilemma_cordoba_1SECOND	Поставте людей на узбережжі у повній бойовій формі. Ми теж можемо продемонструвати силу.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_military_none_war_child_1SECOND	Брехати	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_barb_nomad_tribal_loyaltyFIRST	Похвалити одну групу	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_2THIRD	Ми не можемо дозволити нашим селянам втратити віру в дамбу!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_3FIRST	Мабуть, витримає... так?	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_embezzlement_suspiciousTHIRD	Забути це	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_civil_idiot_magistrateFOURTH	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_religious_christian_candidate_for_bishopFIRST	Зняти його кандидатуру	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_civil_master_agitatorFOURTH	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_3THIRD	Ми не можемо дозволити нашим селянам втратити віру в дамбу!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_2FIRST	Мабуть, витримає... так?	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_embezzlement_suspiciousFIRST	Замітати сліди	true
cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_catholic_religious_sanctions_1SECOND	Накласти санкції	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_religious_christian_candidate_for_bishopTHIRD	Чекайте результату	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_cordoba_1FOURTH	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_religious_hun_lightningTHIRD	Обраний Тенгрі? Що робити, якщо його відзначили за лідерство?	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_adoption_added_incentiveFIRST	Підкупити його	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_0THIRD	Ми не можемо дозволити нашим селянам втратити віру в дамбу!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_1FIRST	Мабуть, витримає... так?	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_eastern_the_chovgan_tourney_1THIRD	Оприлюднити його особу	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_nomad_sword_of_attilaFOURTH	Це якісь холопські фантазії, не витрачати час.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_military_nomad_master_swordsmithFOURTH	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_none_workers_on_strike_1SECOND	… так, саме ви.	true
cdir_events_dilemma_choice_details_localised_choice_title_ollam_ri_pictiFIRST	Чорне дзеркало його поверхні відображає всі таємниці людства.	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_politics_civil_challengerSECOND	Краще замовкнути йому, перш ніж він скаже щось отруйне.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_diplomatic_none_tribute_1SECOND	Прийняти Подарунок	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_religious_hun_lightningFIRST	Чоловік, якого так любить Тенгрі, стане чудовим доповненням до Вашого дому.	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_adoption_added_incentiveTHIRD	Залякування	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_nomad_hostageSECOND	Взяти його в заручники	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_roman_hostageSECOND	Тримати його в заручниках	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_1THIRD	Ми не можемо дозволити нашим селянам втратити віру в дамбу!	true
cdir_events_dilemma_choice_details_localised_choice_title_att_eos_marib_dam_repair_0FIRST	Мабуть, витримає... так?	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_eastern_the_chovgan_tourney_1FIRST	Ігнорувати проблему	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_rome_corruptionSECOND	Заспокоїти людей	true
cdir_events_dilemma_choice_details_localised_choice_title_cha_dilemma_charlemagne_daughter_1FIRST	Не під моїм дахом? Ні, не в моєму королівстві!	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_roman_a_little_flutter_1SECOND	Поставити на гладіатора	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_domestic_roman_a_little_flutter_2SECOND	Поставити на ветерана	true
cdir_events_dilemma_choice_details_localised_choice_label_cha_dilemma_pope_attacked_1SECOND	Відмовитися від втручання	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_nomad_hostageFOURTH	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_roman_hostageFOURTH	Нічого не робити	true
cdir_events_dilemma_choice_details_localised_choice_title_ybor_level_A_alamanniFIRST	Взятий із мертвої хватки ворожого короля.	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_barb_nomad_enemy_tradeFIRST	Убити зрадника!	true
cdir_events_dilemma_choice_details_localised_choice_label_att_subject_politics_rome_corruptionFOURTH	Ігнорувати людей	true
cdir_events_dilemma_choice_details_localised_choice_label_att_political_action_dilemma_secure_loyalty_mutilationFIRST	Каструвати	true
cdir_events_dilemma_choice_details_localised_choice_label_att_eos_sassanid_insult_2FIRST	Вигнати його	true
cdir_events_dilemma_choice_details_localised_choice_title_att_subject_domestic_nomad_sword_of_attilaSECOND	Цей чоловік намагається завоювати Вашу прихильність, Вам не потрібні його «подарунки».	true
