key	text	tooltip
#Loc;1;text/db/special_ability_phases.loc		
special_ability_phases_onscreen_name_chant	Підбадьорення	true
special_ability_phases_onscreen_name_att_form_wedge	Стрій клин	true
special_ability_phases_onscreen_name_beehive	Вулик	true
special_ability_phases_onscreen_name_com_fear	Страх	true
special_ability_phases_onscreen_name_frenzied_charge	Відчайдушність	true
special_ability_phases_onscreen_name_com_raise_banner	Вище стяг	true
special_ability_phases_onscreen_name_inspire	Надихання	true
special_ability_phases_onscreen_name_heavy_infantry_charge_1	Наступ	true
special_ability_phases_onscreen_name_att_form_diamond	Стрій ромбом	true
special_ability_phases_onscreen_name_att_gen_inspire_03	Надихання	true
special_ability_phases_onscreen_name_att_gen_inspire_02	Надихання	true
special_ability_phases_onscreen_name_att_gen_inspire_01	Надихання	true
special_ability_phases_onscreen_name_att_gen_inspire_05	Надихання	true
special_ability_phases_onscreen_name_att_gen_inspire_04	Надихання	true
special_ability_phases_onscreen_name_fire_projectiles	Вогняні снаряди	true
special_ability_phases_onscreen_name_form_attacking_testudo	Щити напоготові	true
special_ability_phases_onscreen_name_prevent_special_ability	Придушення здібностей	true
special_ability_phases_onscreen_name_form_defensive_testudo	Щити напоготові	true
special_ability_phases_onscreen_name_spec_far_shot	Далекий постріл	true
special_ability_phases_onscreen_name_raise_shields_1	Підняти щити	true
special_ability_phases_onscreen_name_form_spear_wall	Щити напоготові	true
special_ability_phases_onscreen_name_com_push	Поштовх	true
special_ability_phases_onscreen_name_screech	Переляк	true
special_ability_phases_onscreen_name_com_second_wind	Друге дихання	true
special_ability_phases_onscreen_name_rapid_advance_1	Швидке просування	true
special_ability_phases_onscreen_name_slavic_attack	Слов'янський гнів	true
special_ability_phases_onscreen_name_form_shield_wall	Щити напоготові	true
special_ability_phases_onscreen_name_slavs_form_square_end	Кривава гульня	true
special_ability_phases_onscreen_name_morale_v_high	Моральний дух	true
special_ability_phases_onscreen_name_aquila_1	Аквіла	true
special_ability_phases_onscreen_name_slav_poison_weapon_heavy	Сильна отрута	true
special_ability_phases_onscreen_name_stress_1	Стрес	true
special_ability_phases_onscreen_name_stress_2	Стрес	true
special_ability_phases_onscreen_name_replenish_ammo	Поповнити боєприпаси	true
special_ability_phases_onscreen_name_precision_shot_1	Влучний постріл	true
special_ability_phases_onscreen_name_att_gen_presence_04	Присутність	true
special_ability_phases_onscreen_name_att_gen_presence_05	Присутність	true
special_ability_phases_onscreen_name_att_gen_presence_02	Присутність	true
special_ability_phases_onscreen_name_att_gen_presence_03	Присутність	true
special_ability_phases_onscreen_name_att_gen_presence_01	Присутність	true
special_ability_phases_onscreen_name_normal_charge_1	Наступ	true
special_ability_phases_onscreen_name_replenish_ammo_01	Поповнити боєприпаси	true
special_ability_phases_onscreen_name_Make_it_Count_1	Прикласти зусилля	true
special_ability_phases_onscreen_name_frenzy_2	Відчайдушність	true
special_ability_phases_onscreen_name_frenzy_1	Відчайдушність	true
special_ability_phases_onscreen_name_quick_march_2	Швидкий рух	true
special_ability_phases_onscreen_name_quick_march_1	Швидкий рух	true
special_ability_phases_onscreen_name_att_gen_second_01	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_03	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_02	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_05	Друге дихання	true
special_ability_phases_onscreen_name_att_gen_second_04	Друге дихання	true
special_ability_phases_onscreen_name_com_relentless	Невблаганний	true
special_ability_phases_onscreen_name_com_force_concentration	Скупчення сил	true
special_ability_phases_onscreen_name_conveterani_1	Побратими	true
special_ability_phases_onscreen_name_cavalry_charge_1	Наступ кінноти	true
special_ability_phases_onscreen_name_slav_poison_weapon_light	Отрута	true
special_ability_phases_onscreen_name_brace_yourself_1	Готуйтеся	true
special_ability_phases_onscreen_name_hold_the_line_1	Тримати стрій	true
special_ability_phases_onscreen_name_form_flying_wedge	Стрій клин	true
special_ability_phases_onscreen_name_barrage_1	загородження	true
special_ability_phases_onscreen_name_att_gen_brace_05	Готовність	true
special_ability_phases_onscreen_name_att_gen_brace_04	Готовність	true
special_ability_phases_onscreen_name_att_gen_brace_03	Готовність	true
special_ability_phases_onscreen_name_att_gen_brace_02	Готовність	true
special_ability_phases_onscreen_name_att_gen_brace_01	Готовність	true
special_ability_phases_onscreen_name_att_ramming_speed_1	Швидкість човна	true
special_ability_phases_onscreen_name_att_ramming_speed_2	Швидкість човна	true
special_ability_phases_onscreen_name_speed_slow	Швидкість	true
special_ability_phases_onscreen_name_att_gen_recon_03	Розвідка	true
special_ability_phases_onscreen_name_att_gen_recon_02	Розвідка	true
special_ability_phases_onscreen_name_att_gen_recon_01	Згуртованість	true
special_ability_phases_onscreen_name_att_gen_recon_05	Розвідка	true
special_ability_phases_onscreen_name_att_gen_recon_04	Розвідка	true
special_ability_phases_onscreen_name_com_rally_inspire	Надихання	true
special_ability_phases_onscreen_name_com_spirit	Дух	true
special_ability_phases_onscreen_name_com_unity	Єдність	true
special_ability_phases_onscreen_name_spec_killing_spree_2	Кривава гульня	true
special_ability_phases_onscreen_name_spec_killing_spree_3	Кривава гульня	true
special_ability_phases_onscreen_name_spec_killing_spree_1	Кривава гульня	true
special_ability_phases_onscreen_name_morale_v_low	Моральний дух	true
special_ability_phases_onscreen_name_att_gen_raise_05	Здіймання	true
special_ability_phases_onscreen_name_att_gen_raise_04	Здіймання	true
special_ability_phases_onscreen_name_att_gen_raise_03	Здіймання	true
special_ability_phases_onscreen_name_att_gen_raise_02	Здіймання	true
special_ability_phases_onscreen_name_att_gen_raise_01	Здіймання	true
special_ability_phases_onscreen_name_Bloodlust_1	Жага крові	true
special_ability_phases_onscreen_name_com_shock_and_awe	Морська хвороба	true
special_ability_phases_onscreen_name_douse_fire	Гасіння пожеж	true
special_ability_phases_onscreen_name_poison_weapon_effect	Отрута	true
special_ability_phases_onscreen_name_infantry_charge_1	Наступ	true
special_ability_phases_onscreen_name_att_gen_rally_01	Згуртованість	true
special_ability_phases_onscreen_name_att_gen_rally_02	Згуртованість	true
special_ability_phases_onscreen_name_att_gen_rally_03	Згуртованість	true
special_ability_phases_onscreen_name_att_gen_rally_04	Згуртованість	true
special_ability_phases_onscreen_name_att_gen_rally_05	Згуртованість	true
special_ability_phases_onscreen_name_ship_speed_1	Прискорення човна	true
special_ability_phases_onscreen_name_ship_speed_3	Прискорення човна	true
special_ability_phases_onscreen_name_ship_speed_2	Прискорення човна	true
special_ability_phases_onscreen_name_herd_and_slaughter_1	Бійня	true
special_ability_phases_onscreen_name_spec_use_the_whip_1	Використання батога	true
special_ability_phases_onscreen_name_spec_use_the_whip_2	Використання батога	true
special_ability_phases_onscreen_name_com_brace	Готовність	true
