key	text	tooltip
#Loc;1;text/db/loyalty_factors.loc		
loyalty_factors_localised_negative_name_bonus_values_faction	Технології та особливості держав	true
loyalty_factors_localised_positive_name_lost_office_shortly_after_being_granted_it	text_rejected	true
loyalty_factors_localised_positive_name_heir	Спадкоємець престолу	true
loyalty_factors_localised_positive_name_upstart_sons	text_rejected	true
loyalty_factors_localised_positive_name_daimyo_honour	text_rejected	true
loyalty_factors_localised_negative_name_epic_failure	Військовий провал	true
loyalty_factors_localised_negative_name_bonus_values	x	true
loyalty_factors_localised_negative_name_lower_level_character_granted_office	Посада передана підлеглому	true
loyalty_factors_localised_negative_name_daimyo_honour	text_rejected	true
loyalty_factors_localised_negative_name_lost_office_shortly_after_being_granted_it	Достроково звільнений з посади	true
loyalty_factors_localised_positive_name_bonus_values	x	true
loyalty_factors_localised_positive_name_lower_level_character_granted_office	text_rejected	true
loyalty_factors_localised_positive_name_epic_failure	text_rejected	true
loyalty_factors_localised_positive_name_extraordinary_success	Військовий успіх	true
loyalty_factors_localised_negative_name_removed_from_office	Зняли з посади	true
loyalty_factors_localised_negative_name_heir	Позбавлений спадку	true
loyalty_factors_localised_negative_name_upstart_sons	Суперництво братів і сестер	true
loyalty_factors_localised_positive_name_bonus_values_faction	Технології та особливості держав	true
loyalty_factors_localised_positive_name_removed_from_office	text_rejected	true
loyalty_factors_localised_negative_name_extraordinary_success	text_rejected	true
loyalty_factors_localised_positive_name_greater_than_his_lord	text_rejected	true
loyalty_factors_localised_negative_name_non_family_general	text_rejected	true
loyalty_factors_localised_negative_name_greater_than_his_lord	Впливовіший за володаря	true
loyalty_factors_localised_positive_name_non_family_general	text_rejected	true
loyalty_factors_localised_negative_name_family_success	text_rejected	true
loyalty_factors_localised_positive_name_family_failure	text_rejected	true
loyalty_factors_localised_negative_name_changed_office	text_rejected	true
loyalty_factors_localised_positive_name_granted_office	Призначили на посаду	true
loyalty_factors_localised_positive_name_destroyed_clan	text_rejected	true
loyalty_factors_localised_negative_name_bribed	Сумнівна вірність	true
loyalty_factors_localised_positive_name_changed_office	text_rejected	true
loyalty_factors_localised_negative_name_granted_office	text_rejected	true
loyalty_factors_localised_positive_name_family_success	text_rejected	true
loyalty_factors_localised_negative_name_family_failure	text_rejected	true
loyalty_factors_localised_negative_name_destroyed_clan	text_rejected	true
loyalty_factors_localised_positive_name_bribed	text_rejected	true
loyalty_factors_localised_positive_name_politics	Політичні махінації	true
loyalty_factors_localised_positive_name_payload	Політика, інтриги та події	true
loyalty_factors_localised_positive_name_personal_loyalty	Особиста вірність	true
loyalty_factors_localised_negative_name_metsuke	text_rejected	true
loyalty_factors_localised_positive_name_married_daughter	Одруження із панівної родини	true
loyalty_factors_localised_negative_name_payload	Політика, інтриги та події	true
loyalty_factors_localised_positive_name_upstart_generals	text_rejected	true
loyalty_factors_localised_positive_name_bonus_values_character	Риси, господа та сім'я	true
loyalty_factors_localised_positive_name_metsuke	text_rejected	true
loyalty_factors_localised_positive_name_adoption	Прийнятий до панівної родини	true
loyalty_factors_localised_negative_name_civil_war_battles	Поразки від сепаратистів	true
loyalty_factors_localised_negative_name_adoption	Прийнятий з панівної родини	true
loyalty_factors_localised_negative_name_upstart_generals	Суперництво прийомних братів і сестер	true
loyalty_factors_localised_negative_name_civil_war	Громадянська війна!	true
loyalty_factors_localised_negative_name_bonus_values_fame	Влада та імперіум	true
loyalty_factors_localised_negative_name_married_daughter	text_rejected	true
loyalty_factors_localised_negative_name_bonus_values_character	Риси, господа та сім'я	true
loyalty_factors_localised_negative_name_personal_loyalty	Особиста вірність	true
loyalty_factors_localised_positive_name_civil_war_battles	Перемоги над сепаратистами	true
loyalty_factors_localised_positive_name_bonus_values_fame	Влада та імперіум	true
loyalty_factors_localised_negative_name_politics	Політичні махінації	true
loyalty_factors_localised_positive_name_civil_war	Громадянська війна!	true
