key	text	tooltip
#Loc;1;text/db/abilities.loc		
abilities_on_screen_description_hinder_agent	Затримати виконання завдання ворожого агента або змусити його перейти на Ваш бік.	true
abilities_on_screen_description_command_force		true
abilities_on_screen_description_assist_army	Використовуйте особливі здібності Вашого агента, щоб збільшити ефективність війська.	true
abilities_on_screen_description_hinder_army	Зменшити бойову спроможність ворожого війська або перешкодити їхнім діям на мапі кампанії.	true
abilities_on_screen_name_hinder_agent	Маніпулювати агентом	true
abilities_on_screen_name_hinder_army	Перешкоджати війську	true
abilities_on_screen_name_hinder_settlement	Шкодити поселенню	true
abilities_on_screen_name_assist_army	Підтримка війська	true
abilities_on_screen_description_hinder_settlement	Перешкоджати повсякденним справам ворожого поселення, шляхом шкідництва або втручанню.	true
abilities_on_screen_name_hinder_province	Шкодити провінції	true
abilities_on_screen_name_assist_province	Допомога провінції	true
abilities_on_screen_name_hinder_character	Вбити	true
abilities_on_screen_name_passive_ability		true
abilities_on_screen_description_assist_province	Використовуйте особливі здібності Вашого агента, щоб збільшити ефективність провінції.	true
abilities_on_screen_description_passive_ability		true
abilities_on_screen_name_command_force		true
abilities_on_screen_description_hinder_character	Вказати на ворожу особу, яку бажаєте вбити.	true
abilities_on_screen_description_hinder_province	Зменшити продуктивність провінції, використовуючи особливі здібності Вашого агента.	true
