key	text	tooltip
#Loc;1;text/db/achievements.loc		
achievements_description_ACHIEVEMENT_ATT_KILL_ATTILA	Kill Attila the Hun by any means at your disposal.	true
achievements_title_ACHIEVEMENT_ATT_MIXED_BATTLE_MARINE_KILL_LAND_UNIT	Semper Fi	true
achievements_description_ACHIEVEMENT_ATT_RAMMING_KILL	Destroy an enemy ship by ramming it.	true
achievements_description_ACHIEVEMENT_COMPLETE_AN_ENTIRE_CAMPAIGN_WINNING_EVERY_BATTLE_EXCEPT_ONE_WITHOUT_AUTORESOLVE	Complete an entire campaign, winning every battle except one, without auto-resolving.	true
achievements_description_ACHIEVEMENT_ATT_SUCCESSFUL_BOARDING	Successfully board a ship during a naval battle.	true
achievements_description_ACHIEVEMENT_ATTAIN_MAXIMUM_RANK_SPY	Attain the maximum rank with a spy-type agent during a campaign.	true
achievements_description_ACHIEVEMENT_SINK_MORE_THAN_10_SHIPS_A_SINGLE_CAMPAIGN_BATTLE	Sink more than 10 enemy ships in a single campaign battle.	true
achievements_description_ACHIEVEMENT_AS_BARBARIANS_SACK_ROME	As a barbarian faction, sack the city of Rome.	true
achievements_title_ACHIEVEMENT_ATT_PROVINCE_VICTORY_ARABIA_PETRAEA	Arabia Petraea	true
achievements_title_ACHIEVEMENT_ISSUE_10_EDICTS_IN_CAMPAIGN	Praetor	true
achievements_description_ACHIEVEMENT_SIEGE_AND_CAPTURE_CITY_BY_VICTORY_POINTS	Successfully siege and capture a city by seizing its victory points during a campaign battle.	true
achievements_description_ACHIEVEMENT_ATT_CAMPAIGN_VICTORY_VISIGOTHI	Complete the Grand Campaign as the Visigoths.	true
achievements_title_ACHIEVEMENT_WIN_50_CAMPAIGN_NAVAL_BATTLES	Praefectus Classis	true
achievements_description_ACHIEVEMENT_ATT_CAMPAIGN_VICTORY_BURGUNDIANS	Complete the Grand Campaign as the Burgundians.	true
achievements_description_ACHIEVEMENT_ATT_WIN_25_CAMPAIGN_SIEGE_BATTLE	Fight and win 25 campaign siege battles.	true
achievements_description_ACHIEVEMENT_WIN_MP_CAMPAIGN	Win a multiplayer campaign.	true
achievements_description_ACHIEVEMENT_DEFEND_ENCAMPMENT_WITHOUT_LOSING_VICTORY_POINTS	During a campaign defend your encampment without losing a single victory point.	true
achievements_description_ACHIEVEMENT_FIGHT_A_CAMPAIGN_COMBINED_LAND_AND_NAVAL_BATTLE	Fight a combined battle during a campaign using both land and naval forces.	true
achievements_title_ACHIEVEMENT_ATT_FOUGHT_BATTLE_KILLED_EVERYONE_AND_KILLED_CAPTIVES	Take No Prisoners	true
achievements_description_ACHIEVEMENT_ATT_3_RALLIES_PER_BATTLE	Your general rallies a unit 3 times during a single campaign battle.	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_9	Reclaiming the Desert	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_3	Pincer Movement	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_2	The Gallic War	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_7	The Alexandrine War	true
achievements_title_ACHIEVEMENT_HISTORICAL_BATTLE_6	Carthage Must Be Destroyed	true
achievements_description_ACHIEVEMENT_ATT_AS_VANDALS_SACK_ROME	As the Vandals, sack the city of Roma.	true
achievements_description_ACHIEVEMENT_BECOME_EMBROLIED_IN_A_CIVIL_WAR	Become involved in a civil war.	true
achievements_title_ACHIEVEMENT_ATT_CAMPAIGN_VICTORY_VISIGOTHI	Visigothic Kingdom	true
achievements_description_ACHIEVEMENT_ATT_WIN_1_CAMPAIGN_SIEGE_BATTLE	Fight and win a single campaign siege battle.	true
achievements_description_ACHIEVEMENT_ATT_WIN_5_CAMPAIGN_SIEGE_BATTLE	Fight and win 5 campaign siege battles.	true
achievements_description_ACHIEVEMENT_ATT_MIXED_BATTLE_MARINE_KILL_LAND_UNIT	Rout a land unit with a marine unit during a campaign battle.	true
achievements_title_ACHIEVEMENT_BEAT_CA_STAFF	The Lost Eagle	true
achievements_description_ACHIEVEMENT_ATT_CAMPAIGN_VICTORY_VENEDIANS	Complete the Grand Campaign as the Venedians.	true
achievements_title_ACHIEVEMENT_ATT_KILL_SHIP_WITH_GREEK_FIRE	Burning Seas	true
achievements_description_ACHIEVEMENT_ATT_ATTILA_THE_HUN_BORN	Ensure your faction survives until Attila the Hun is born.	true
achievements_title_ACHIEVEMENT_ATT_FIELD_BALLISTA_OR_ONAGER_IN_SIEGE_CAMPAIGN_BATTLE	Siege Engineer	true
achievements_description_ACHIEVEMENT_AS_ROME_OR_CARTHAGE_DO_NOT_ESTABLISH_AN_EMPIRE	As Rome or Carthage, choose not to establish an empire following a civil war. 	true
achievements_title_ACHIEVEMENT_ATT_USE_SABOTAGE_WALLS_3_TIMES	Saboteur	true
