key	text	tooltip
#Loc;1;text/db/capture_point_types.loc		
capture_point_types_onscreen_name_capture_point_tower_only	Вежа	true
capture_point_types_onscreen_name_victory_point_plaza	Ключова позиція перемоги - Подвір'я	true
capture_point_types_onscreen_name_victory_point_statue_helios	Ключова позиція перемоги - статуя Геліоса	true
capture_point_types_onscreen_name_victory_point_statue_hera	Ключова позиція перемоги - статуя Гери	true
capture_point_types_onscreen_name_capture_point_plaza	Ключова позиція - Майдан	true
capture_point_types_onscreen_name_victory_point_agora	Ключова позиція перемоги - Агора	true
capture_point_types_onscreen_name_victory_point_lighthouse	Ключова позиція перемоги - Маяк	true
capture_point_types_onscreen_name_victory_point_forum	Ключова позиція перемоги - Форум	true
capture_point_types_onscreen_name_victory_point_baths	Ключова позиція перемоги - Термальні ванни	true
capture_point_types_onscreen_name_victory_point_docks	Ключова позиція перемоги - Доки	true
capture_point_types_onscreen_name_victory_point_arena	Ключова позиція перемоги - Арена	true
capture_point_types_onscreen_name_victory_point_stone_circle	Ключова позиція перемоги - Кам'яне коло	true
capture_point_types_onscreen_name_victory_point_park	Ключова позиція перемоги - Сади	true
capture_point_types_onscreen_name_victory_point_ziggurat	Ключова позиція перемоги - Зіккурат	true
capture_point_types_onscreen_name_victory_point_aqueduct	Ключова позиція перемоги - Акведук	true
capture_point_types_onscreen_name_victory_point_barracks	Ключова позиція перемоги - Казарми	true
capture_point_types_onscreen_name_victory_point_coliseum	Ключова позиція перемоги - Колізей	true
capture_point_types_onscreen_name_victory_point_bridge	Ключова позиція перемоги - Міст	true
capture_point_types_onscreen_name_victory_point_statue_poseidon	Ключова позиція перемоги - статуя Посейдона	true
capture_point_types_onscreen_name_victory_point_archery	Ключова позиція перемоги - Стрільбище з лука	true
capture_point_types_onscreen_name_victory_point_statue_augustus	Ключова позиція перемоги - статуя Августа	true
capture_point_types_onscreen_name_capture_point_gate_and_towers	Ключова позиція - Ворота з вежами	true
capture_point_types_onscreen_name_capture_point_towers	Вежі	true
capture_point_types_onscreen_name_victory_point_market	Ключова позиція перемоги - Базар	true
capture_point_types_onscreen_name_victory_point_circus	Ключова позиція перемоги - Circus Maximus	true
capture_point_types_onscreen_name_victory_point_theatre	Ключова позиція перемоги - Театр	true
capture_point_types_onscreen_name_victory_point_palace	Ключова позиція перемоги - Палац	true
capture_point_types_onscreen_name_victory_point_chieftain	Ключова позиція перемоги - Будинок Вождя	true
capture_point_types_onscreen_name_a_default_capture_point	Ключова позиція перемоги	true
capture_point_types_onscreen_name_capture_point_gate_only	Ключова позиція - Ворота	true
capture_point_types_onscreen_name_victory_point_great_oak	Ключова позиція перемоги - Великий Дуб	true
capture_point_types_onscreen_name_victory_point_stables	Ключова позиція перемоги - Стайні	true
capture_point_types_onscreen_name_victory_point_obelisk	Ключова позиція перемоги - Обеліск	true
capture_point_types_onscreen_name_victory_point_shrine	Ключова позиція перемоги - Святиня	true
capture_point_types_onscreen_name_victory_point_acropolis	Ключова позиція перемоги - Акрополь	true
capture_point_types_onscreen_name_victory_point_temple	Ключова позиція перемоги - Святиня	true
