key	text	tooltip
#Loc;1;text/db/building_short_description_texts.loc		
building_short_description_texts_short_description_cha_bld_barracks_1	A collection of men with spears is better than a mob with nothing.	true
building_short_description_texts_short_description_cha_bld_barracks_2	"Train hard, fight well. Some of you may yet survive."	true
building_short_description_texts_short_description_cha_bld_barracks_3	"Some of you may die; but that is a sacrifice I am willing to make."	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_1	The gods love those brave enough to seek the bounty of the forest.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_2	Those who shed their blood for the tribe have much to be thankful for.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_3	"Let the life blood flow forth and nourish this altar."	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_4	Honour the Raging One and all will be well.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_5	"Let the spirit of Godan run through you, and inspire your victory!"	true
building_short_description_texts_short_description_att_bld_nomad_artisan_carpenter_2	The backbone of riders is the bow, hewn from strong wood by the skilled. 	true
building_short_description_texts_short_description_att_bld_nomad_artisan_carpenter_3	Bending the bough and treating the tree, this is the art of the carpenter.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_carpenter_4	Ingenious contrivances, for the good of the people and woe of the enemy.	true
building_short_description_texts_short_description_cha_bld_church_school_1	To improve lives through knowledge is the Christian way indeed.	true
building_short_description_texts_short_description_cha_bld_church_school_2	Keepers of knowledge should also impart it, you would think.	true
building_short_description_texts_short_description_bel_bld_camp_workshop_1	What can't be made here isn't needed on campaign	true
building_short_description_texts_short_description_att_bld_nomad_artisan_yurthmaker_3	Some may call them crude, yet the yurt is the nomad's way of life.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_yurthmaker_2	The yurt, subject to the harshness of nomadic life, requires careful maintenance.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_yurthmaker_4	"This yurt is for no ordinary man…"	true
building_short_description_texts_short_description_att_bld_eos_religion_east_church_minor_3	Serenity is only a fifty-foot winch and a prayer away.	true
building_short_description_texts_short_description_att_bld_eos_religion_east_church_minor_2	From this lofty position, a great man interprets the wisdom of God for those below.	true
building_short_description_texts_short_description_att_bld_eos_religion_east_church_minor_1	"Impressive devotion, being a hermit, but what happens when we run out of bread?"	true
building_short_description_texts_short_description_att_bld_barbarian_industry_basketweaver_4	Many hands make light work. 	true
building_short_description_texts_short_description_att_bld_barbarian_industry_basketweaver_2	A wise man puts all his eggs in one basket and watches it carefully.	true
building_short_description_texts_short_description_att_bld_barbarian_industry_basketweaver_3	The skill of the weaver is passed from generation to generation.	true
building_short_description_texts_short_description_att_bld_barbarian_farm_livestock_2	A wise shepherd watches his flock day and night.	true
building_short_description_texts_short_description_att_bld_barbarian_farm_livestock_3	A herd provides more than just food.	true
building_short_description_texts_short_description_att_bld_barbarian_farm_livestock_4	The size of a man's herd is an indication of his wealth.	true
building_short_description_texts_short_description_cha_bld_treasury_1	Coins hold power beyond wealth. They are legitimacy. They are loyalty.	true
building_short_description_texts_short_description_cha_bld_treasury_3	The coffers of the state, from which funds are drawn according to need and favour.	true
building_short_description_texts_short_description_cha_bld_treasury_2	When your face is everywhere, there can be no doubt who rules.	true
building_short_description_texts_short_description_cha_bld_tengrism_2	A wise man loves the stars too fondly to be afraid of the night.	true
building_short_description_texts_short_description_cha_bld_tengrism_3	Honour great Tengri and his blessings will be yours.	true
building_short_description_texts_short_description_cha_bld_tengrism_1	The lightning strikes the highest mountain.	true
building_short_description_texts_short_description_att_bld_religion_orthodox_major_church_2	Where men gather to hear the word of God.	true
building_short_description_texts_short_description_att_bld_religion_orthodox_major_church_3	Love your enemies; pray for those who persecute you.	true
building_short_description_texts_short_description_att_bld_religion_orthodox_major_church_4	Let all voices be raised in prayer.	true
building_short_description_texts_short_description_att_bld_all_military_upgrades_1	Generals might win wars, but quartermasters win battles.	true
building_short_description_texts_short_description_cha_bld_olive_1	One olive tree is good, many are better.	true
building_short_description_texts_short_description_cha_bld_olive_3	The fruit of the olive tree makes for good business.	true
building_short_description_texts_short_description_cha_bld_olive_2	The humble olive reveals its value when crushed under stone.	true
building_short_description_texts_short_description_att_bld_all_agriculture_generic_1	Treated correctly, the eastern deserts are as fertile as a western meadow.	true
building_short_description_texts_short_description_cha_bld_cloth_3	There are many advantages to owning a really nice carpet.	true
building_short_description_texts_short_description_cha_bld_cloth_2	Many looms are better than one.	true
building_short_description_texts_short_description_cha_bld_cloth_1	The threads of life are woven into the weaver's art.	true
