key	text	tooltip
#Loc;1;text/db/agent_actions.loc		
agent_actions_localised_action_description_att_agent_action_spy_hinder_province_corruption	[[col:yellow]]Збільшення хабарництва в цільовій провінції.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_settlement_compromise_security	[[col:yellow]]Зменшення безпеки провінції цільового поселення.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_province_discourage_populace	Залякування населення	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_province_corruption	Хабарництво	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_harass_army	[[col:yellow]]Завдання незначних втрат кільком загонам цільової армії.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_bargain_supplies	Домовлятися щодо припасів	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_assault_unit	[[col:yellow]]Завдання шкоди певному загону цільової армії.[[/col]]	true
agent_actions_localised_action_description_cha_agent_action_bargain_supplies	[[col:yellow]]Збільшення швидкості поповнення армій у цьому регіоні та дозволяє поповнення на території супротивника.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_passive_ability_infiltrate	[[col:yellow]]Робить агента невидимим на мапі кампанії, якщо його не виявлять сили суперника.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_army_harass_army	Виснаження армії	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_misdirect_army	[[col:yellow]]Зменшення дальності пересування цільової армії на мапі кампанії.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_ruin_provisions	Псування харчів	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_ruin_stores	[[col:yellow]]Зменшення виробництва їжі та збільшення жебрацтва у цільовому поселенні.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_passive_ability_infiltrate	Втручання	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_misdirect_army	Дезінформація військ	true
agent_actions_localised_action_description_cha_agent_action_extort	[[col:yellow]]Примус цільового агента приєднатися до Вашої справи.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_extort	Примус	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_army_compromise_command	Знеславити командувача	true
agent_actions_localised_action_name_att_agent_action_champion_passive_ability_military_supply	Військове постачання	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_assault	[[col:yellow]]Вбивство цільового персонажа.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_passive_ability_military_supply	[[col:yellow]]Збільшення швидкості поповнення армій у цьому регіоні та дозволяє поповнення на території супротивника.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_assist_army_military_training	Навчання загонів	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_compromise_command	[[col:yellow]]Зменшення характеристик цільового командувача.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_assist_army_military_training	[[col:yellow]]Підвищення досвіду загонам, які служать у головній армії.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_ruin_provisions	[[col:yellow]]Збільшення рівня втоми для всіх загонів у цільовій армії.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_trap	[[col:yellow]]Затримка цільового агента.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_army_encourage_mutiny	Підбурювання заколоту	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_character_assassinate	Організувати вбивство	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_misdirect_workforce	[[col:yellow]]Збільшення часу будівництва в цільовому поселенні.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_settlement_exploit_corruption	Зиск від хабарництва	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_encourage_mutiny	[[col:yellow]]Зменшення єдності цільової армії.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_character_trap	Пастка	true
agent_actions_localised_action_description_att_agent_action_dignitary_passive_ability_spread_religion	[[col:yellow]]Навернення місцевої провінції на релігію агента.[[/col]]	true
