key	text	tooltip
#Loc;1;text/db/campaign_unit_stat_bonuses.loc		
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses2	Конярство III (підвищена швидкість в битві для новобранців кавалеристів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses1	Конярство II (підвищена швидкість в битві для новобранців кавалеристів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_horses0	Конярство I (підвищена швидкість в битві для новобранців кавалеристів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack4	тренування нападу: еліта	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack1	тренування нападу: регулярні	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack0	тренування нападу: зелені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack3	тренування нападу: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_attack2	тренування нападу: досвідчені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon0	Кування зброї I (збільшення шкоди в ближньому бою для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon1	Кування зброї ІI (збільшення шкоди в ближньому бою для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_weapon2	Кування зброї ІІI (збільшення шкоди в ближньому бою для всіх нових загонів)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale3	тренування морального духу: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale2	тренування морального духу: досвідчені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale1	тренування морального духу: регулярні	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale0	тренування морального духу: зелені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_morale4	тренування морального духу: еліта	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge0	тренування наступу: зелені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge1	тренування наступу: регулярні	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge2	тренування наступу: досвідчені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge3	тренування наступу: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_charge4	тренування наступу: еліта	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield0	Виготовлення щитів I (покращена ефективність щита для новобранців із щитами)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield1	Виготовлення щитів II (покращена ефективність щита для новобранців із щитами)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_shield2	Виготовлення щитів III (покращена ефективність щита для новобранців із щитами)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour0	Кування обладунків I (покращення обладунків для всіх нових загонів) 	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour1	Кування обладунків IІ (покращення обладунків для всіх нових загонів) 	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_armour2	Кування обладунків ІІI (покращення обладунків для всіх нових загонів) 	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence4	тренування захисту: еліта	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence2	тренування захисту: досвідчені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence3	тренування захисту: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence0	тренування захисту: зелені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_defence1	тренування захисту: регулярні	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health2	Корпуси III рівня	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health0	Корпуси I рівня	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_hull_health1	Корпуси II рівня	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy0	тренування влучності: зелені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy1	тренування влучності: регулярні	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy2	тренування влучності: досвідчені	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy3	тренування влучності: ветерани	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_accuracy4	тренування влучності: еліта	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition0	Оперення стріл I (збільшений боєзапас для новобранців стрільців)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition1	Оперення стріл II (збільшений боєзапас для новобранців стрільців)	true
campaign_unit_stat_bonuses_description_campaign_unit_stat_bonus_type_ammunition2	Оперення стріл III (збільшений боєзапас для новобранців стрільців)	true
