key	text	tooltip
#Loc;1;text/db/ancillaries.loc		
ancillaries_onscreen_name_att_eos_anc_companion_eastern_eunuch_guard	Євнух охоронець	true
ancillaries_onscreen_name_att_cel_anc_barbarian_companion_hero_gian	Татуйований божевільний	true
ancillaries_onscreen_name_att_cel_anc_barbarian_companion_hero_old	Героїчний ветеран	true
ancillaries_colour_text_att_sp_item_priest_amulet_of_woden	Воден! Воден! Даруй мені своє бачення!	true
ancillaries_onscreen_name_att_cha_companion_all_general_foodtaster	Дегустатор їжі	true
ancillaries_colour_text_att_cha_apparel_all_general_mailcoat_short	Коротший і легший, ніж його важчий побратим - така сорочка, яку можна сподіватися носити, коли потрапиш у засідку.	true
ancillaries_colour_text_att_sp_apparel_general_robe_of_glory	Самі ангели ведуть праведне тіло до Нового Раю.	true
ancillaries_onscreen_name_att_sp_item_priest_urceus	Глечик	true
ancillaries_colour_text_att_cha_item_frankish_general_relic_thorns	Очевидно, що це робота Бога, інакше ці шипи вже б згнили.	true
ancillaries_onscreen_name_att_cha_apparel_all_general_mail_curtain	Бармиця	true
ancillaries_onscreen_name_att_sp_item_veteran_verutum	Верутум	true
ancillaries_colour_text_att_sp_item_general_wooden_lathed_bow	З додаванням дерев'яних накладок потужність лука значно збільшується.	true
ancillaries_colour_text_att_sp_item_general_ciborium_	Добре, хто з Вас знову був на Євхаристії?	true
ancillaries_colour_text_att_sp_item_priest_depiction_of_the_first_creation	Мати життя послала людину на бій з демоном жадібності.	true
ancillaries_onscreen_name_att_item_barbarian_golden_arm_ring	Золота каблучка	true
ancillaries_onscreen_name_att_companion_barbarian_childhood_friend	Друг дитинства	true
ancillaries_colour_text_att_cha_item_frankish_general_relic_splinter	Володіння цим наближає до Бога.	true
ancillaries_onscreen_name_att_sp_item_priest_gladiator_sweat	Гладіаторський піт	true
ancillaries_colour_text_att_sp_apparel_priest_sudreh	Ця сорочка, біла як Аша, веде мене добрим шляхом.	true
ancillaries_colour_text_att_cha_companion_avar_general_gepid_slave	Переможені втрачають всі права і справедливо служать своїм поневолювачам.	true
ancillaries_onscreen_name_att_sp_companion_priest_tatar_ubyr	Татарський упир	true
ancillaries_onscreen_name_att_sp_apparel_priest_saints_cloak	Кирея святого	true
ancillaries_onscreen_name_att_cha_item_all_general_shield_embossed	Геральдичний щит	true
ancillaries_colour_text_att_sp_apparel_general_red_robes_of_marriage	Ми святкуємо союз цих двох під вічним синім небом.	true
ancillaries_colour_text_att_sp_companion_priest_greco_roman_convert	Новонавернутий – ліпший помічник.	true
ancillaries_onscreen_name_att_cha_companion_all_general_drillmaster	Солдафон	true
ancillaries_colour_text_att_sp_companion_general_heroic_veteran_slavs	Пам'ятайте, що якщо Ваша голова відходить від шиї, все закінчено.	true
ancillaries_colour_text_att_eos_anc_companion_eastern_govt_office_agriculture	Контроль над постачанням їжі є життєво важливою посадою.	true
ancillaries_colour_text_att_sp_companion_general_local_guides	Загроза розп'яття дійсно може покращити пам'ять.	true
ancillaries_colour_text_att_sp_apparel_general_howdah	Ліжко, яке несе верблюд?	true
ancillaries_onscreen_name_att_sp_item_priest_statuette_of_ziu	Статуетка Тюра	true
ancillaries_onscreen_name_att_sp_apparel_veteran_raiders_helm	Шолом розбійника	true
ancillaries_colour_text_att_sp_companion_general_zoroastrian_follower	Я кажу, що ти Господь, і я повинен точно знати, бо я не один.	true
ancillaries_colour_text_att_cha_companion_cordoba_general_khurusani_warrior	Яскраві і престижні, хорасанські воїни привносить вишуканості в процеси	true
